session_id,timestamp,valid_data,activation,scl_avg
63727700-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876041,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876046,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876046,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876046,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876046,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876046,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876051,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876051,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876051,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876051,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876051,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876056,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876056,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876056,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876056,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876056,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876061,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876061,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876061,false,false,0.0
63727700-2c39-11f1-8080-808080808080,1774876061,false,false,6.805265426635742
63727700-2c39-11f1-8080-808080808080,1774876061,false,false,6.847276210784912
63727700-2c39-11f1-8080-808080808080,1774876067,false,false,6.979433536529541
63727700-2c39-11f1-8080-808080808080,1774876067,true,false,7.207962989807129
63727700-2c39-11f1-8080-808080808080,1774876067,true,false,7.526712894439697
63727700-2c39-11f1-8080-808080808080,1774876067,true,false,8.042891502380371
63727700-2c39-11f1-8080-808080808080,1774876067,true,false,8.531991958618164
63727700-2c39-11f1-8080-808080808080,1774876072,true,false,9.081823348999023
63727700-2c39-11f1-8080-808080808080,1774876072,true,false,9.687013626098633
63727700-2c39-11f1-8080-808080808080,1774876072,true,false,10.329352378845215
63727700-2c39-11f1-8080-808080808080,1774876072,true,true,11.154943466186523
63727700-2c39-11f1-8080-808080808080,1774876072,true,false,11.80766773223877
63727700-2c39-11f1-8080-808080808080,1774876077,true,false,12.441980361938477
63727700-2c39-11f1-8080-808080808080,1774876077,true,false,13.03357982635498
