timestamp,value
2026-04-12T00:00:03Z,94.6
2026-04-12T00:01:03Z,94.5
2026-04-12T00:02:03Z,94.5
2026-04-12T00:03:03Z,94.4
2026-04-12T00:04:03Z,94.3
2026-04-12T00:05:03Z,94.3
2026-04-12T00:06:03Z,94.3
2026-04-12T00:07:03Z,94.3
2026-04-12T00:08:03Z,94.3
2026-04-12T00:09:03Z,94.3
2026-04-12T00:10:03Z,94.3
2026-04-12T00:11:03Z,94.2
2026-04-12T00:12:03Z,94.2
2026-04-12T00:13:03Z,94.2
2026-04-12T00:14:03Z,94.2
2026-04-12T00:15:03Z,94.2
2026-04-12T00:16:03Z,50.0
2026-04-12T00:17:03Z,94.2
2026-04-12T00:18:03Z,94.4
2026-04-12T00:19:03Z,94.3
2026-04-12T00:20:03Z,94.3
2026-04-12T00:21:03Z,94.3
2026-04-12T00:22:03Z,94.3
2026-04-12T00:23:03Z,94.2
2026-04-12T00:24:03Z,94.3
2026-04-12T00:25:03Z,50.0
2026-04-12T00:26:03Z,94.5
2026-04-12T00:27:03Z,94.5
2026-04-12T00:28:03Z,94.6
2026-04-12T00:29:03Z,94.7
2026-04-12T00:30:03Z,94.6
2026-04-12T00:31:03Z,94.5
2026-04-12T00:32:03Z,94.5
2026-04-12T00:33:03Z,94.5
2026-04-12T00:34:03Z,94.5
2026-04-12T00:35:03Z,50.0
2026-04-12T00:36:03Z,94.8
2026-04-12T00:37:03Z,94.9
2026-04-12T00:38:03Z,50.0
2026-04-12T00:39:03Z,94.6
2026-04-12T00:40:03Z,94.3
2026-04-12T00:41:03Z,94.1
2026-04-12T00:42:03Z,93.8
2026-04-12T00:43:03Z,93.9
2026-04-12T00:44:03Z,50.0
2026-04-12T00:45:03Z,94.4
2026-04-12T00:46:03Z,94.7
2026-04-12T00:47:03Z,94.9
2026-04-12T00:48:03Z,50.0
2026-04-12T00:49:03Z,94.8
2026-04-12T00:50:03Z,94.7
2026-04-12T00:51:03Z,50.0
2026-04-12T00:52:03Z,94.3
2026-04-12T00:53:03Z,95.0
2026-04-12T00:54:03Z,95.6
2026-04-12T00:55:03Z,95.9
2026-04-12T00:56:03Z,96.1
2026-04-12T00:57:03Z,96.1
2026-04-12T00:58:03Z,96.0
2026-04-12T00:59:03Z,96.0
2026-04-12T01:00:03Z,95.9
2026-04-12T01:01:03Z,95.9
2026-04-12T01:02:03Z,50.0
2026-04-12T01:03:03Z,95.8
2026-04-12T01:04:03Z,95.4
2026-04-12T01:05:03Z,95.2
2026-04-12T01:06:03Z,95.0
2026-04-12T01:07:03Z,50.0
2026-04-12T01:08:03Z,95.6
2026-04-12T01:09:03Z,96.1
2026-04-12T01:10:03Z,96.1
2026-04-12T01:11:03Z,96.3
2026-04-12T01:12:03Z,96.5
2026-04-12T01:13:03Z,96.8
2026-04-12T01:14:03Z,96.8
2026-04-12T01:15:03Z,97.2
2026-04-12T01:16:03Z,97.1
2026-04-12T01:17:03Z,96.9
2026-04-12T01:18:03Z,96.9
2026-04-12T01:19:03Z,97.1
2026-04-12T01:20:03Z,97.2
2026-04-12T01:21:03Z,97.0
2026-04-12T01:22:03Z,97.3
2026-04-12T01:23:03Z,50.0
2026-04-12T01:24:03Z,97.4
2026-04-12T01:25:03Z,96.6
2026-04-12T01:26:03Z,95.8
2026-04-12T01:27:03Z,95.5
2026-04-12T01:28:03Z,95.2
2026-04-12T01:29:03Z,95.0
2026-04-12T01:30:03Z,50.0
2026-04-12T01:31:03Z,94.7
2026-04-12T01:32:03Z,94.9
2026-04-12T01:33:03Z,50.0
2026-04-12T01:34:03Z,94.9
2026-04-12T01:35:03Z,95.2
2026-04-12T01:36:03Z,96.1
2026-04-12T01:37:03Z,96.9
2026-04-12T01:38:03Z,97.5
2026-04-12T01:39:03Z,97.9
2026-04-12T01:40:03Z,97.9
2026-04-12T01:41:03Z,97.6
2026-04-12T01:42:03Z,97.7
2026-04-12T01:43:03Z,97.8
2026-04-12T01:44:03Z,98.3
2026-04-12T01:45:03Z,98.2
2026-04-12T01:46:03Z,98.1
2026-04-12T01:47:03Z,98.1
2026-04-12T01:48:03Z,97.9
2026-04-12T01:49:03Z,97.5
2026-04-12T01:50:03Z,97.3
2026-04-12T01:51:03Z,96.9
2026-04-12T01:52:03Z,97.5
2026-04-12T01:53:03Z,97.4
2026-04-12T01:54:03Z,97.7
2026-04-12T01:55:03Z,97.8
2026-04-12T01:56:03Z,97.7
2026-04-12T01:57:03Z,98.0
2026-04-12T01:58:03Z,98.2
2026-04-12T01:59:03Z,98.5
2026-04-12T02:00:03Z,98.7
2026-04-12T02:01:03Z,99.3
2026-04-12T02:02:03Z,99.6
2026-04-12T02:03:03Z,99.5
2026-04-12T02:04:03Z,99.5
2026-04-12T02:05:03Z,99.3
2026-04-12T02:06:03Z,97.8
2026-04-12T02:07:03Z,96.9
2026-04-12T02:08:03Z,96.4
2026-04-12T02:09:03Z,50.0
2026-04-12T02:10:03Z,96.6
2026-04-12T02:11:03Z,96.5
2026-04-12T02:12:03Z,96.6
2026-04-12T02:13:03Z,96.6
2026-04-12T02:14:03Z,94.8
2026-04-12T02:15:03Z,94.8
2026-04-12T02:16:03Z,95.3
2026-04-12T02:17:03Z,94.0
2026-04-12T02:18:03Z,94.9
2026-04-12T02:19:03Z,94.2
2026-04-12T02:20:03Z,95.1
2026-04-12T02:21:03Z,94.4
2026-04-12T02:22:03Z,50.0
2026-04-12T02:23:03Z,94.3
2026-04-12T02:24:03Z,94.3
2026-04-12T02:25:03Z,94.4
2026-04-12T02:26:03Z,94.5
2026-04-12T02:27:03Z,94.6
2026-04-12T02:28:03Z,94.6
2026-04-12T02:29:03Z,94.6
2026-04-12T02:30:03Z,94.6
2026-04-12T02:31:03Z,94.7
2026-04-12T02:32:03Z,94.7
2026-04-12T02:33:03Z,94.6
2026-04-12T02:34:03Z,94.8
2026-04-12T02:35:03Z,94.7
2026-04-12T02:36:03Z,94.5
2026-04-12T02:37:03Z,94.5
2026-04-12T02:38:03Z,94.6
2026-04-12T02:39:03Z,94.4
2026-04-12T02:40:03Z,94.5
2026-04-12T02:41:03Z,94.5
2026-04-12T02:42:03Z,94.4
2026-04-12T02:43:03Z,94.7
2026-04-12T02:44:03Z,94.3
2026-04-12T02:45:03Z,50.0
2026-04-12T02:46:03Z,50.0
2026-04-12T02:47:03Z,93.9
2026-04-12T02:48:03Z,93.7
2026-04-12T02:49:03Z,93.5
2026-04-12T02:50:03Z,93.7
2026-04-12T02:51:03Z,93.9
2026-04-12T02:52:03Z,94.0
2026-04-12T02:53:03Z,93.9
2026-04-12T02:54:03Z,93.9
2026-04-12T02:55:03Z,94.0
2026-04-12T02:56:03Z,94.1
2026-04-12T02:57:03Z,94.2
2026-04-12T02:58:03Z,94.2
2026-04-12T02:59:03Z,94.2
2026-04-12T03:00:03Z,50.0
2026-04-12T03:01:03Z,94.8
2026-04-12T03:02:03Z,94.7
2026-04-12T03:03:03Z,94.7
2026-04-12T03:04:03Z,94.7
2026-04-12T03:05:03Z,94.8
2026-04-12T03:06:03Z,94.8
2026-04-12T03:07:03Z,94.8
2026-04-12T03:08:03Z,94.9
2026-04-12T03:09:03Z,94.9
2026-04-12T03:10:03Z,95.0
2026-04-12T03:11:03Z,94.9
2026-04-12T03:12:03Z,94.9
2026-04-12T03:13:03Z,94.9
2026-04-12T03:14:03Z,94.8
2026-04-12T03:15:03Z,50.0
2026-04-12T03:16:03Z,94.7
2026-04-12T03:17:03Z,50.0
2026-04-12T03:18:03Z,95.3
2026-04-12T03:19:03Z,95.2
2026-04-12T03:20:03Z,95.0
2026-04-12T03:21:03Z,95.0
2026-04-12T03:22:03Z,95.0
2026-04-12T03:23:03Z,94.8
2026-04-12T03:24:03Z,94.6
2026-04-12T03:25:03Z,94.7
2026-04-12T03:26:03Z,94.8
2026-04-12T03:27:03Z,94.8
2026-04-12T03:28:03Z,94.8
2026-04-12T03:29:03Z,94.9
2026-04-12T03:30:03Z,94.9
2026-04-12T03:31:03Z,95.1
2026-04-12T03:32:03Z,50.0
2026-04-12T03:33:03Z,95.0
2026-04-12T03:34:03Z,94.8
