id;day;optimal_bedtime;recommendation;status
50a6b9a9-0a60-45b4-8cfd-706cc2733e5c;2026-03-12;;later_wake_up_time;optimal_found
3349ce55-1cc8-4947-bd5c-b273f8c1296c;2026-03-13;;later_wake_up_time;optimal_found
2178c8a1-c3da-4e11-8a7c-665de3d1f311;2026-03-14;;later_wake_up_time;optimal_found
8a65438e-37a2-42e0-a070-7ed7c1fc519b;2026-03-15;;later_wake_up_time;optimal_found
4af40442-6b91-4e23-b12a-d01a660435f8;2026-03-16;;later_wake_up_time;optimal_found
ca58d32f-59e6-48d1-8c34-437f5f65bd08;2026-03-18;;later_wake_up_time;optimal_found
9d92f236-f383-490c-b560-446da30f2e37;2026-03-19;;later_wake_up_time;optimal_found
905413b0-0117-4862-9ffa-3783789a403c;2026-03-20;;later_wake_up_time;optimal_found
a297960c-9db8-4e31-93ca-cd956bf53d4a;2026-03-21;;later_wake_up_time;optimal_found
a1212bcd-cb3e-426f-a4ab-0d7d17c8dba5;2026-03-22;;later_wake_up_time;optimal_found
862292b4-634b-4680-b003-1622ee653139;2026-03-23;;later_wake_up_time;optimal_found
8eaf1a32-3702-4800-891c-2ed0b35654fc;2026-03-24;;later_wake_up_time;optimal_found
393fce2d-23b2-48e3-8d99-084120abc6c7;2026-03-25;;later_wake_up_time;optimal_found
eeb3fbfe-d16f-4ecf-83cb-d1a5d0a2ba54;2026-03-26;;later_wake_up_time;optimal_found
822755c8-f97b-476e-874f-d5a5ae17b088;2026-03-27;;later_wake_up_time;optimal_found
6b5add7c-712d-4fe5-b3a6-9ce7e149b380;2026-03-28;;later_wake_up_time;optimal_found
8dba6e38-3163-4d19-b851-8c25ae8024f7;2026-03-30;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
047efa15-a80e-4bc5-a5f0-458631a617c0;2026-03-31;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
73d2b163-c82a-4f17-a7fc-05dbd58c1e2a;2026-04-01;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
0b570e5c-cfb0-4ee5-9721-51a9212dddbf;2026-04-02;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
a8c69720-15b7-4c03-b720-914e03d77ef3;2026-04-03;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
1c0706a5-ec59-4009-9d69-e737c1215fb5;2026-04-04;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
f8175752-32b8-40d6-84f0-d97ba16fba4a;2026-04-04;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
01e65b54-b095-4d33-91a1-ae9bcd84aefd;2026-04-05;;earlier_bedtime;only_recommended_found
0fab7826-9103-40fc-b509-c486db7de3bf;2026-04-06;"{""day_tz"": 10800, ""end_offset"": -900, ""start_offset"": -4500}";later_wake_up_time;optimal_found
6af804f9-1397-4b16-84a4-c5b58d2f4ef9;2026-04-09;"{""day_tz"": 10800, ""end_offset"": -2700, ""start_offset"": -6300}";follow_optimal_bedtime;optimal_found
c99fb053-d903-4418-ba54-bb5fcbb82de9;2026-04-10;"{""day_tz"": 10800, ""end_offset"": -2700, ""start_offset"": -6300}";follow_optimal_bedtime;optimal_found
b6d7cbf0-eb6d-4507-8c7b-0dbcbf181b1d;2026-04-11;"{""day_tz"": 10800, ""end_offset"": -2700, ""start_offset"": -6300}";follow_optimal_bedtime;optimal_found
a5ca4291-c583-41c6-a517-581cf7a27323;2026-04-12;"{""day_tz"": 10800, ""end_offset"": -2700, ""start_offset"": -6300}";follow_optimal_bedtime;optimal_found
