timestamp;charging;in_charger;level
2026-01-19T13:11:44.700Z;False;False;35
2026-01-19T14:11:44.000Z;False;False;35
2026-01-19T14:51:45.300Z;False;False;34
2026-01-19T15:51:45.100Z;False;False;34
2026-01-19T16:51:44.400Z;False;False;34
2026-01-19T17:51:44.900Z;False;False;34
2026-01-19T18:51:45.100Z;False;False;34
2026-01-19T19:21:45.200Z;False;False;33
2026-01-19T20:11:45.200Z;False;False;32
2026-01-19T21:11:44.500Z;False;False;32
2026-01-19T22:11:44.800Z;False;False;32
2026-01-19T23:11:44.800Z;False;False;32
2026-01-20T00:11:44.800Z;False;False;32
2026-01-20T01:11:44.800Z;False;False;32
2026-01-20T02:01:44.900Z;False;False;31
2026-01-20T03:01:44.800Z;False;False;31
2026-01-20T04:01:44.800Z;False;False;31
2026-01-20T04:41:44.900Z;False;False;30
2026-01-20T05:41:44.800Z;False;False;30
2026-01-20T06:41:44.500Z;False;False;30
2026-01-20T07:11:44.600Z;False;False;29
2026-01-20T08:11:45.400Z;False;False;29
2026-01-20T09:11:45.500Z;False;False;29
2026-01-20T09:41:45.400Z;False;False;28
2026-01-20T10:41:44.800Z;False;False;28
2026-01-20T11:41:45.600Z;False;False;28
2026-01-20T12:41:44.700Z;False;False;28
2026-01-20T13:41:45.200Z;False;False;28
2026-01-20T14:41:45.600Z;False;False;28
2026-01-20T15:01:45.500Z;False;False;27
2026-01-20T16:01:45.300Z;False;False;27
2026-01-20T17:01:45.000Z;False;False;27
2026-01-20T18:01:44.500Z;False;False;26
2026-01-20T19:01:45.100Z;False;False;26
2026-01-20T19:41:45.200Z;False;False;25
2026-01-20T20:31:45.400Z;False;False;26
2026-01-20T21:31:44.900Z;False;False;26
2026-01-20T22:31:44.900Z;False;False;26
2026-01-20T22:41:45.000Z;False;False;25
2026-01-20T23:41:44.900Z;False;False;25
2026-01-21T00:41:44.900Z;False;False;25
2026-01-21T01:41:44.900Z;False;False;25
2026-01-21T02:21:45.000Z;False;False;24
2026-01-21T03:21:44.100Z;False;False;24
2026-01-21T04:21:44.100Z;False;False;24
2026-01-21T05:21:44.100Z;False;False;24
2026-01-21T06:21:44.300Z;False;False;24
2026-01-21T06:41:45.200Z;False;False;23
2026-01-21T07:41:45.300Z;False;False;23
2026-01-21T08:41:45.000Z;False;False;23
2026-01-21T09:11:44.900Z;False;False;22
2026-01-21T10:11:44.800Z;False;False;22
2026-01-21T11:11:44.800Z;False;False;22
2026-01-21T12:01:45.600Z;False;False;21
2026-01-21T13:01:44.600Z;False;False;21
2026-01-21T14:01:45.000Z;False;False;21
2026-01-21T14:31:44.600Z;False;False;20
2026-01-21T15:31:45.100Z;False;False;20
2026-01-21T16:31:44.600Z;False;False;20
2026-01-21T17:11:45.700Z;False;False;19
2026-01-21T18:11:43.900Z;False;False;19
2026-01-21T19:11:45.300Z;False;False;19
2026-01-21T19:21:45.400Z;False;False;18
