timestamp;bpm;source
2026-01-15T16:52:49.000Z;68;awake
2026-01-15T16:53:00.000Z;67;awake
2026-01-15T16:53:19.000Z;68;awake
2026-01-15T16:58:52.000Z;70;awake
2026-01-15T16:59:23.000Z;68;awake
2026-01-15T16:59:33.000Z;70;awake
2026-01-15T17:04:38.000Z;68;awake
2026-01-15T17:08:47.000Z;69;awake
2026-01-15T17:09:29.000Z;68;awake
2026-01-15T17:16:10.000Z;80;awake
2026-01-15T17:16:19.000Z;77;awake
2026-01-15T17:16:26.000Z;78;awake
2026-01-15T17:26:14.000Z;74;awake
2026-01-15T17:26:23.000Z;72;awake
2026-01-15T17:27:46.000Z;72;awake
2026-01-15T17:31:43.000Z;72;awake
2026-01-15T17:31:59.000Z;71;awake
2026-01-15T17:32:35.000Z;73;awake
2026-01-15T17:38:44.000Z;71;awake
2026-01-15T17:39:07.000Z;70;awake
2026-01-15T17:39:20.000Z;69;awake
2026-01-15T17:43:44.000Z;71;awake
2026-01-15T17:43:59.000Z;73;awake
2026-01-15T17:44:17.000Z;71;awake
2026-01-15T17:49:11.000Z;71;awake
2026-01-15T17:49:17.000Z;70;awake
2026-01-15T17:49:52.000Z;69;awake
2026-01-15T17:54:17.000Z;68;awake
2026-01-15T17:55:55.000Z;68;awake
2026-01-15T17:55:58.000Z;69;awake
2026-01-15T17:59:26.000Z;68;awake
2026-01-15T18:00:23.000Z;67;awake
2026-01-15T18:01:01.000Z;68;awake
2026-01-15T18:04:45.000Z;73;awake
2026-01-15T18:04:53.000Z;71;awake
2026-01-15T18:05:03.000Z;74;awake
2026-01-15T18:09:40.000Z;58;awake
2026-01-15T18:10:18.000Z;70;awake
2026-01-15T18:10:28.000Z;70;awake
2026-01-15T18:15:38.000Z;66;awake
2026-01-15T18:16:18.000Z;69;awake
2026-01-15T18:16:34.000Z;67;awake
2026-01-15T18:19:30.000Z;65;rest
2026-01-15T18:31:30.000Z;65;rest
2026-01-15T18:37:30.000Z;66;rest
2026-01-15T18:59:39.000Z;66;awake
2026-01-15T19:00:08.000Z;64;awake
2026-01-15T19:00:42.000Z;67;awake
2026-01-15T19:06:00.000Z;66;awake
2026-01-15T19:06:01.000Z;65;awake
2026-01-15T19:06:04.000Z;64;awake
2026-01-15T19:10:49.000Z;63;awake
2026-01-15T19:11:08.000Z;62;awake
2026-01-15T19:11:37.000Z;63;awake
2026-01-15T19:15:55.000Z;62;awake
2026-01-15T19:16:05.000Z;63;awake
2026-01-15T19:17:29.000Z;60;awake
2026-01-15T19:21:34.000Z;66;awake
2026-01-15T19:21:36.000Z;65;awake
2026-01-15T19:22:35.000Z;67;awake
2026-01-15T19:26:12.000Z;63;awake
2026-01-15T19:26:41.000Z;62;awake
2026-01-15T19:27:07.000Z;63;awake
2026-01-15T19:31:54.000Z;65;awake
2026-01-15T19:32:04.000Z;62;awake
2026-01-15T19:32:22.000Z;63;awake
2026-01-15T19:36:24.000Z;65;awake
2026-01-15T19:36:44.000Z;66;awake
2026-01-15T19:37:38.000Z;63;awake
2026-01-15T19:41:52.000Z;63;awake
2026-01-15T19:43:14.000Z;66;awake
2026-01-15T19:43:15.000Z;64;awake
2026-01-15T19:47:26.000Z;63;awake
2026-01-15T19:47:39.000Z;62;awake
2026-01-15T19:47:47.000Z;61;awake
2026-01-15T19:52:38.000Z;63;awake
2026-01-15T19:53:14.000Z;64;awake
2026-01-15T19:53:31.000Z;65;awake
2026-01-15T19:57:26.000Z;69;awake
2026-01-15T19:58:16.000Z;66;awake
2026-01-15T19:58:50.000Z;67;awake
2026-01-15T20:03:10.000Z;65;awake
2026-01-15T20:03:17.000Z;66;awake
2026-01-15T20:03:50.000Z;67;awake
2026-01-15T20:08:20.000Z;76;awake
2026-01-15T20:10:11.000Z;65;awake
2026-01-15T20:10:47.000Z;63;awake
2026-01-15T20:10:50.000Z;64;awake
2026-01-15T20:15:26.000Z;63;awake
2026-01-15T20:15:43.000Z;65;awake
2026-01-15T20:16:31.000Z;62;awake
2026-01-15T20:21:23.000Z;64;awake
2026-01-15T20:22:11.000Z;65;awake
2026-01-15T20:22:20.000Z;64;awake
2026-01-15T20:26:19.000Z;68;awake
2026-01-15T20:26:34.000Z;69;awake
2026-01-15T20:26:40.000Z;67;awake
2026-01-15T20:28:51.000Z;67;awake
2026-01-15T20:29:18.000Z;64;awake
2026-01-15T20:29:29.000Z;65;awake
2026-01-15T20:33:45.000Z;63;awake
2026-01-15T20:35:03.000Z;61;awake
2026-01-15T20:35:15.000Z;61;awake
2026-01-15T20:40:10.000Z;60;awake
2026-01-15T20:43:58.000Z;62;awake
2026-01-15T20:44:24.000Z;61;awake
2026-01-15T20:44:47.000Z;63;awake
2026-01-15T20:49:36.000Z;63;awake
2026-01-15T20:49:46.000Z;64;awake
2026-01-15T20:49:52.000Z;62;awake
2026-01-15T20:55:06.000Z;64;awake
2026-01-15T20:55:27.000Z;62;awake
2026-01-15T20:56:02.000Z;60;awake
2026-01-15T21:01:06.000Z;60;awake
2026-01-15T21:05:47.000Z;59;awake
2026-01-15T21:05:54.000Z;58;awake
2026-01-15T21:06:05.000Z;60;awake
2026-01-15T21:10:09.000Z;60;awake
2026-01-15T21:15:57.000Z;63;awake
2026-01-15T21:16:33.000Z;60;awake
2026-01-15T21:16:39.000Z;61;awake
2026-01-15T21:22:04.000Z;65;awake
2026-01-15T21:22:12.000Z;64;awake
2026-01-15T21:22:13.000Z;64;awake
2026-01-15T21:24:38.000Z;60;awake
2026-01-15T21:29:29.000Z;61;awake
2026-01-15T21:29:37.000Z;60;awake
2026-01-15T21:30:11.000Z;59;awake
2026-01-15T21:34:33.000Z;61;awake
2026-01-15T21:34:38.000Z;60;awake
2026-01-15T21:35:33.000Z;63;awake
2026-01-15T21:41:44.000Z;57;rest
2026-01-15T21:46:44.000Z;56;rest
2026-01-15T21:51:44.000Z;56;rest
2026-01-15T21:56:44.000Z;56;rest
2026-01-15T22:01:44.000Z;56;rest
2026-01-15T22:06:44.000Z;57;rest
2026-01-15T22:11:44.000Z;60;rest
2026-01-15T22:16:44.000Z;57;rest
2026-01-15T22:21:44.000Z;57;rest
2026-01-15T22:26:44.000Z;59;rest
2026-01-15T22:31:44.000Z;58;rest
2026-01-15T22:36:44.000Z;60;rest
2026-01-15T22:41:31.000Z;60;rest
2026-01-15T22:46:31.000Z;59;rest
2026-01-15T22:51:31.000Z;59;rest
2026-01-15T23:01:44.000Z;58;rest
2026-01-15T23:06:44.000Z;57;rest
2026-01-15T23:11:44.000Z;57;rest
2026-01-15T23:16:44.000Z;56;rest
2026-01-15T23:21:44.000Z;56;rest
2026-01-15T23:26:44.000Z;60;rest
