value_time,setting_name,setting_value
2026-03-25 18:48:04+0000,glucose measurement unit,mg dl
2026-03-25 21:24:34+0000,body temperature measurement unit,metric
2026-04-12 21:04:33+0000,height system,metric
2026-04-12 21:04:33+0000,pool length,25
2026-04-12 21:04:33+0000,pool length measurement unit,meter
2026-04-12 21:04:33+0000,water measurement unit,ml
2026-04-12 21:04:33+0000,weight system,metric
