value_time,setting_name,setting_value
2026-04-12 21:04:33+0000,is child,false
2026-04-12 21:04:33+0000,locale,en_FI
2026-04-12 21:04:33+0000,sex,male
2026-04-12 21:04:33+0000,timezone,Europe/Helsinki
