timestamp,rmssd,coverage,low_frequency,high_frequency
2026-03-28T01:10:00,31.807,0.98,127.257,102.742
2026-03-28T01:15:00,20.074,0.959,90.177,75.457
2026-03-28T01:20:00,25.476,0.985,156.123,110.521
2026-03-28T01:25:00,22.362,0.729,139.277,68.524
2026-03-28T01:55:00,39.499,0.769,10400.86,649.75
2026-03-28T02:00:00,30.694,0.786,8550.089,1506.828
2026-03-28T02:05:00,14.176,0.91,110.414,26.515
2026-03-28T02:10:00,10.681,0.988,282.945,11.234
2026-03-28T02:15:00,9.332,1.003,74.154,9.594
2026-03-28T02:20:00,11.147,0.949,250.63,17.694
2026-03-28T02:25:00,10.683,1.001,181.316,27.838
2026-03-28T02:30:00,11.604,1.003,125.293,27.133
2026-03-28T02:35:00,12.532,0.944,317.505,21.27
2026-03-28T02:40:00,12.478,0.981,110.408,33.899
2026-03-28T02:45:00,11.728,1.003,93.898,32.763
2026-03-28T02:50:00,11.65,1.001,111.845,29.362
2026-03-28T02:55:00,14.293,0.995,180.803,49.491
2026-03-28T03:00:00,13.02,0.976,773.629,22.561
2026-03-28T03:05:00,11.155,0.98,172.085,21.905
2026-03-28T03:10:00,9.689,0.994,95.869,27.352
2026-03-28T03:15:00,11.494,0.949,400.868,20.098
2026-03-28T03:20:00,9.438,1.002,112.958,19.85
2026-03-28T03:25:00,11.775,0.994,131.852,25.544
2026-03-28T03:30:00,11.404,0.938,1168.262,16.03
2026-03-28T03:35:00,15.128,0.952,456.939,49.04
2026-03-28T03:40:00,13.972,0.968,427.167,30.444
2026-03-28T03:45:00,9.848,0.93,369.958,10.79
2026-03-28T03:50:00,9.294,0.959,145.843,14.389
2026-03-28T03:55:00,11.374,0.968,253.475,12.966
2026-03-28T04:00:00,9.53,0.941,296.768,14.299
2026-03-28T04:05:00,8.647,0.998,106.496,7.876
2026-03-28T04:10:00,8.024,0.996,50.487,7.985
2026-03-28T04:15:00,8.997,1.005,186.303,14.519
2026-03-28T04:20:00,9.805,1.003,283.113,16.234
2026-03-28T04:25:00,10.029,1.001,160.631,10.603
2026-03-28T04:30:00,8.606,1.003,66.862,15.541
2026-03-28T04:35:00,9.497,0.998,108.303,14.551
2026-03-28T04:40:00,10.87,0.942,768.335,21.7
2026-03-28T04:45:00,9.481,1.003,121.123,19.066
2026-03-28T04:50:00,8.701,1.001,85.414,14.343
2026-03-28T04:55:00,9.158,0.997,62.791,20.236
2026-03-28T05:00:00,9.348,1.004,58.462,15.893
2026-03-28T05:05:00,14.151,0.899,631.164,20.951
2026-03-28T05:10:00,12.0,0.979,190.823,24.672
2026-03-28T05:15:00,12.265,1.005,124.262,32.469
2026-03-28T05:20:00,11.988,0.953,94.975,20.77
2026-03-28T05:25:00,13.07,0.934,171.96,11.435
2026-03-28T05:30:00,18.6,1.002,195.649,95.34
2026-03-28T05:35:00,12.18,0.902,234.239,14.441
2026-03-28T05:40:00,14.425,1.003,308.657,30.757
2026-03-28T05:45:00,13.898,1.005,176.312,34.154
2026-03-28T05:50:00,11.151,0.966,463.726,16.38
2026-03-28T05:55:00,9.937,0.942,83.546,10.019
2026-03-28T06:00:00,12.984,0.865,646.549,22.678
2026-03-28T06:05:00,17.485,0.98,86.643,52.78
2026-03-28T06:10:00,18.469,1.003,122.407,71.069
2026-03-28T06:15:00,20.503,0.993,178.148,74.813
2026-03-28T06:20:00,19.475,0.955,519.392,76.537
2026-03-28T06:25:00,18.455,0.98,109.69,60.004
2026-03-28T06:30:00,15.662,1.002,104.809,51.336
2026-03-28T06:35:00,14.583,1.003,70.608,48.779
2026-03-28T06:40:00,11.984,0.997,102.048,34.715
2026-03-28T06:45:00,15.172,0.97,458.179,53.786
2026-03-28T06:50:00,15.116,0.954,788.693,29.905
2026-03-28T06:55:00,8.703,0.993,99.299,9.787
2026-03-28T07:00:00,20.273,0.92,1038.633,91.49
2026-03-28T07:05:00,30.503,0.834,99.592,131.991
2026-03-28T07:10:00,16.151,0.935,521.379,24.072
2026-03-28T07:15:00,12.28,0.866,349.433,16.746
2026-03-28T07:20:00,9.368,0.98,205.173,18.373
2026-03-28T07:25:00,11.714,0.969,356.861,27.683
2026-03-28T07:30:00,11.501,0.911,189.604,32.703
2026-03-28T07:35:00,11.568,0.903,209.366,13.729
2026-03-28T07:40:00,9.865,0.994,123.124,20.721
2026-03-28T07:45:00,9.844,1.005,108.349,27.749
2026-03-28T07:50:00,9.395,1.0,165.382,12.77
2026-03-28T07:55:00,10.655,0.995,202.591,15.598
2026-03-28T08:00:00,9.195,1.004,83.621,12.675
2026-03-28T08:05:00,11.197,0.959,192.085,12.653
2026-03-28T08:10:00,10.599,0.953,191.737,10.793
2026-03-28T08:15:00,10.558,1.004,143.441,12.424
2026-03-28T08:20:00,8.453,1.0,106.696,9.106
