timestamp,rmssd,coverage,low_frequency,high_frequency
2026-04-02T00:10:00,13.075,0.988,93.447,23.386
2026-04-02T00:15:00,13.404,0.936,104.485,36.92
2026-04-02T00:20:00,14.309,1.003,49.195,54.657
2026-04-02T00:25:00,15.26,1.001,50.998,52.594
2026-04-02T00:30:00,16.094,1.002,56.55,66.413
2026-04-02T00:35:00,13.962,0.957,1350.451,18.81
2026-04-02T00:40:00,13.49,1.0,144.873,35.346
2026-04-02T00:45:00,13.523,1.002,74.491,34.37
2026-04-02T00:50:00,12.831,0.993,319.193,19.372
2026-04-02T00:55:00,11.141,1.004,158.378,20.321
2026-04-02T01:00:00,11.443,0.979,206.401,20.177
2026-04-02T01:05:00,8.281,1.004,58.989,7.182
2026-04-02T01:10:00,8.311,0.971,659.695,16.62
2026-04-02T01:15:00,6.672,1.003,120.378,7.745
2026-04-02T01:20:00,7.883,1.005,229.537,23.788
2026-04-02T01:25:00,10.72,0.897,251.729,21.036
2026-04-02T01:30:00,8.353,0.999,85.28,19.273
2026-04-02T01:35:00,7.874,1.004,56.687,13.388
2026-04-02T01:40:00,7.725,1.005,72.254,14.976
2026-04-02T01:45:00,8.49,0.999,81.115,21.436
2026-04-02T01:50:00,7.936,1.003,59.572,17.795
2026-04-02T01:55:00,7.383,1.001,50.906,15.295
2026-04-02T02:00:00,10.414,0.919,215.135,9.201
2026-04-02T02:05:00,11.69,0.854,289.823,21.184
2026-04-02T02:10:00,10.263,1.0,111.488,26.396
2026-04-02T02:15:00,8.688,1.004,155.801,12.351
2026-04-02T02:20:00,9.136,1.002,130.887,13.699
2026-04-02T02:25:00,10.733,0.943,167.234,16.597
2026-04-02T02:30:00,9.61,1.001,205.004,10.89
2026-04-02T02:35:00,7.995,1.004,63.792,10.849
2026-04-02T02:40:00,8.451,1.001,65.581,9.895
2026-04-02T02:45:00,11.036,0.964,271.731,11.411
2026-04-02T02:50:00,10.475,0.96,170.788,15.37
2026-04-02T02:55:00,10.594,0.973,323.619,17.64
2026-04-02T03:00:00,7.666,1.003,178.322,5.213
2026-04-02T03:05:00,8.644,0.982,462.424,11.47
2026-04-02T03:10:00,11.352,0.915,314.066,21.117
2026-04-02T03:15:00,8.723,0.994,127.953,11.822
2026-04-02T03:20:00,13.656,0.958,611.45,33.205
2026-04-02T03:25:00,13.603,0.986,881.947,315.349
2026-04-02T03:30:00,11.937,1.002,69.169,34.32
2026-04-02T03:35:00,14.028,1.004,111.257,36.743
2026-04-02T03:40:00,12.586,0.962,231.492,20.724
2026-04-02T03:45:00,10.464,1.004,120.848,20.703
2026-04-02T03:50:00,9.274,1.0,43.492,16.912
2026-04-02T03:55:00,10.621,1.002,112.547,25.671
2026-04-02T04:00:00,10.22,1.003,52.274,16.173
2026-04-02T04:05:00,12.706,1.005,434.256,72.294
2026-04-02T04:10:00,10.375,0.982,85.461,18.814
2026-04-02T04:15:00,17.172,0.885,1260.865,16.804
2026-04-02T04:20:00,10.303,1.002,315.567,12.801
2026-04-02T04:25:00,8.089,0.996,94.565,7.937
2026-04-02T04:30:00,9.175,1.003,103.904,14.094
2026-04-02T04:35:00,10.36,1.003,166.25,9.798
2026-04-02T04:40:00,11.169,0.952,615.862,14.413
2026-04-02T05:10:00,9.459,0.962,168.397,13.761
2026-04-02T05:15:00,9.839,0.821,227.854,13.703
2026-04-02T05:40:00,12.643,0.841,69.853,21.578
2026-04-02T05:45:00,9.386,0.938,31.697,10.41
2026-04-02T05:50:00,10.104,1.004,141.387,16.816
2026-04-02T05:55:00,9.978,0.952,798.796,7.813
2026-04-02T06:00:00,9.03,1.001,146.867,14.789
2026-04-02T06:05:00,10.368,1.005,254.918,12.349
2026-04-02T06:10:00,9.157,1.001,86.547,11.66
2026-04-02T06:15:00,10.124,1.006,151.358,33.424
2026-04-02T06:20:00,10.285,0.995,178.299,26.435
2026-04-02T06:25:00,10.448,1.003,148.683,13.323
2026-04-02T06:30:00,10.391,1.004,158.067,15.119
2026-04-02T06:35:00,10.145,1.003,150.605,14.03
2026-04-02T06:40:00,9.883,0.994,187.983,19.64
2026-04-02T06:45:00,11.942,0.955,426.712,17.191
2026-04-02T06:50:00,11.014,1.002,351.935,17.583
2026-04-02T06:55:00,12.416,0.934,571.46,21.159
2026-04-02T07:00:00,12.725,0.962,276.827,25.634
2026-04-02T07:05:00,10.459,0.98,177.282,26.79
2026-04-02T07:10:00,9.488,0.975,166.039,13.908
2026-04-02T07:15:00,12.171,0.91,664.752,24.265
2026-04-02T07:20:00,9.422,0.947,143.814,9.153
2026-04-02T07:25:00,8.446,1.004,94.628,10.571
2026-04-02T07:30:00,7.892,0.998,88.143,9.055
2026-04-02T07:35:00,12.466,0.977,166.713,34.35
2026-04-02T07:40:00,10.76,1.002,134.407,36.725
2026-04-02T07:45:00,13.695,0.876,334.395,26.036
2026-04-02T07:50:00,10.392,1.004,140.837,19.141
2026-04-02T07:55:00,12.489,1.002,141.418,33.019
2026-04-02T08:00:00,11.14,1.001,96.326,20.788
2026-04-02T08:05:00,11.984,0.956,189.707,17.297
2026-04-02T08:10:00,10.853,0.991,507.388,22.209
2026-04-02T08:15:00,10.129,0.992,79.98,12.781
2026-04-02T08:20:00,13.102,0.957,830.233,48.814
2026-04-02T08:25:00,17.487,0.737,474.596,32.193
2026-04-02T23:40:00,16.487,0.799,75.555,41.014
2026-04-02T23:45:00,13.84,0.934,116.347,35.562
2026-04-02T23:50:00,14.155,1.003,90.017,43.129
2026-04-02T23:55:00,14.047,1.0,66.561,47.914
