timestamp,rmssd,coverage,low_frequency,high_frequency
2026-03-27T00:00:00,8.748,0.951,46.732,15.001
2026-03-27T00:05:00,10.892,0.934,358.134,27.18
2026-03-27T00:10:00,10.685,0.921,397.804,13.367
2026-03-27T00:15:00,10.978,0.977,285.273,19.839
2026-03-27T00:20:00,12.244,0.915,562.149,21.178
2026-03-27T00:25:00,13.769,0.922,286.074,36.354
2026-03-27T00:30:00,14.265,0.949,245.682,32.245
2026-03-27T00:35:00,13.614,0.946,153.257,40.746
2026-03-27T00:40:00,14.489,0.932,170.328,38.314
2026-03-27T00:45:00,15.015,0.978,236.082,28.517
2026-03-27T00:50:00,15.215,1.001,30.342,48.967
2026-03-27T00:55:00,15.442,0.894,209.641,28.635
2026-03-27T01:00:00,7.519,0.996,75.418,10.69
2026-03-27T01:05:00,7.623,1.002,69.824,7.979
2026-03-27T01:10:00,8.068,1.003,50.862,11.296
2026-03-27T01:15:00,9.912,0.999,95.514,23.082
2026-03-27T01:20:00,8.52,1.004,60.328,19.879
2026-03-27T01:25:00,9.297,1.003,22.381,21.396
2026-03-27T01:30:00,10.593,0.992,35.176,35.088
2026-03-27T01:35:00,10.565,1.004,203.16,15.464
2026-03-27T01:40:00,15.562,0.896,812.264,21.57
2026-03-27T01:45:00,14.626,0.985,154.486,46.804
2026-03-27T01:50:00,19.815,0.896,461.211,48.542
2026-03-27T01:55:00,20.815,0.808,466.278,49.562
2026-03-27T02:00:00,17.745,0.989,91.428,67.36
2026-03-27T02:05:00,18.796,1.002,35.524,78.357
2026-03-27T02:10:00,18.352,1.006,78.75,57.649
2026-03-27T02:15:00,16.935,0.998,93.004,64.869
2026-03-27T02:20:00,14.903,0.998,91.852,47.966
2026-03-27T02:25:00,14.739,1.003,91.393,47.518
2026-03-27T02:30:00,12.543,0.951,281.873,24.51
2026-03-27T02:35:00,8.65,0.943,53.31,8.916
2026-03-27T02:40:00,10.317,0.99,133.131,16.998
2026-03-27T02:45:00,9.567,1.005,137.018,17.659
2026-03-27T02:50:00,8.546,0.965,109.319,11.408
2026-03-27T02:55:00,7.543,1.0,181.072,11.1
2026-03-27T03:00:00,8.61,0.983,78.269,15.283
2026-03-27T03:05:00,10.576,0.951,398.558,19.244
2026-03-27T03:10:00,13.17,0.954,465.388,33.755
2026-03-27T03:15:00,14.362,0.968,439.527,28.868
2026-03-27T03:20:00,13.492,0.975,58.947,23.473
2026-03-27T03:25:00,15.66,1.002,43.126,37.635
2026-03-27T03:30:00,12.684,0.928,661.485,20.857
2026-03-27T03:35:00,10.529,0.978,126.31,16.51
2026-03-27T03:40:00,13.835,0.983,54.8,37.563
2026-03-27T03:45:00,13.982,0.949,2501.941,188.94
2026-03-27T03:50:00,11.393,0.983,94.131,25.54
2026-03-27T03:55:00,14.158,0.88,660.55,32.868
2026-03-27T04:00:00,10.864,1.005,265.238,21.661
2026-03-27T04:05:00,10.227,0.993,55.601,18.847
2026-03-27T04:10:00,9.4,1.001,106.091,11.106
2026-03-27T04:15:00,8.849,0.96,118.789,14.057
2026-03-27T04:20:00,11.264,1.005,35.25,14.859
2026-03-27T04:25:00,13.877,0.942,1718.923,41.747
2026-03-27T04:30:00,22.373,0.969,125.661,108.902
2026-03-27T04:35:00,22.504,0.966,162.473,82.416
2026-03-27T04:40:00,19.024,0.954,643.401,64.869
2026-03-27T04:45:00,15.964,0.985,159.522,52.689
2026-03-27T04:50:00,13.948,0.996,96.955,35.077
2026-03-27T04:55:00,13.771,1.005,81.256,44.516
2026-03-27T05:00:00,13.59,0.987,65.236,37.917
2026-03-27T05:05:00,21.953,0.912,451.831,43.191
2026-03-27T05:10:00,22.826,0.986,212.329,138.056
2026-03-27T05:15:00,20.84,0.921,372.218,63.022
2026-03-27T05:20:00,27.332,0.87,995.996,136.45
2026-03-27T05:25:00,26.965,0.935,178.197,149.269
2026-03-27T05:30:00,15.394,1.003,88.876,43.779
2026-03-27T05:35:00,19.184,0.991,86.526,76.876
2026-03-27T05:40:00,14.703,1.003,43.355,39.96
2026-03-27T05:45:00,11.023,0.958,267.845,20.062
2026-03-27T05:50:00,9.269,0.937,99.434,12.412
2026-03-27T05:55:00,17.483,0.965,249.15,37.404
2026-03-27T06:00:00,12.671,0.954,939.629,35.855
2026-03-27T06:05:00,10.42,0.99,400.567,21.123
2026-03-27T06:10:00,11.754,0.983,306.721,22.741
2026-03-27T06:15:00,12.207,0.972,838.412,23.55
2026-03-27T06:20:00,12.154,1.002,120.223,20.506
2026-03-27T06:25:00,11.991,1.006,106.494,23.187
2026-03-27T06:30:00,10.435,0.954,44.992,15.76
2026-03-27T06:35:00,10.43,1.007,52.894,18.341
2026-03-27T06:40:00,12.485,1.002,57.016,32.984
2026-03-27T06:45:00,15.536,0.879,269.189,29.151
2026-03-27T06:50:00,14.272,0.953,467.833,25.746
