timestamp,heart rate zone,total minutes,data source
2026-03-27T14:09:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:10:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:11:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:12:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:13:00Z,CARDIO,2,Charge 6
2026-03-27T14:14:00Z,CARDIO,2,Charge 6
2026-03-27T14:15:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:16:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:17:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:18:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:19:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:20:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:21:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:22:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:39:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:40:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:41:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:42:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:43:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:44:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:45:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:46:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:47:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:48:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:49:00Z,FAT_BURN,1,Charge 6
2026-03-27T14:51:00Z,FAT_BURN,1,Charge 6
2026-03-28T06:56:00Z,FAT_BURN,1,Charge 6
2026-03-28T06:59:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:00:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:01:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:02:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:03:00Z,CARDIO,2,Charge 6
2026-03-28T07:04:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:05:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:06:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:07:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:08:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:09:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:10:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:11:00Z,PEAK,2,Charge 6
2026-03-28T07:12:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:13:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:45:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:46:00Z,FAT_BURN,1,Charge 6
2026-03-28T07:48:00Z,FAT_BURN,1,Charge 6
2026-03-28T08:04:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:03:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:04:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:05:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:06:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:07:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:08:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:09:00Z,FAT_BURN,1,Charge 6
2026-03-28T10:10:00Z,FAT_BURN,1,Charge 6
2026-03-28T15:54:00Z,FAT_BURN,1,Charge 6
2026-03-28T15:55:00Z,FAT_BURN,1,Charge 6
2026-03-28T18:34:00Z,FAT_BURN,1,Charge 6
2026-03-28T22:39:00Z,FAT_BURN,1,Charge 6
2026-03-28T22:40:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:08:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:09:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:10:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:11:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:17:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:18:00Z,FAT_BURN,1,Charge 6
2026-03-29T11:19:00Z,CARDIO,2,Charge 6
2026-03-29T11:20:00Z,CARDIO,2,Charge 6
2026-03-29T11:21:00Z,CARDIO,2,Charge 6
2026-03-29T17:06:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:09:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:10:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:11:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:12:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:13:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:14:00Z,FAT_BURN,1,Charge 6
2026-03-29T17:26:00Z,FAT_BURN,1,Charge 6
2026-03-30T05:09:00Z,FAT_BURN,1,Charge 6
2026-03-30T05:10:00Z,FAT_BURN,1,Charge 6
2026-03-30T05:11:00Z,FAT_BURN,1,Charge 6
2026-03-30T05:12:00Z,CARDIO,2,Charge 6
2026-03-30T05:13:00Z,FAT_BURN,1,Charge 6
2026-03-30T05:54:00Z,FAT_BURN,1,Charge 6
2026-03-30T05:58:00Z,FAT_BURN,1,Charge 6
2026-03-30T07:56:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:21:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:22:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:23:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:24:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:25:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:26:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:27:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:28:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:30:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:33:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:34:00Z,CARDIO,2,Charge 6
2026-03-30T13:35:00Z,CARDIO,2,Charge 6
2026-03-30T13:36:00Z,FAT_BURN,1,Charge 6
2026-03-30T13:37:00Z,FAT_BURN,1,Charge 6
2026-03-30T18:06:00Z,FAT_BURN,1,Charge 6
2026-03-30T19:48:00Z,FAT_BURN,1,Charge 6
2026-03-30T19:49:00Z,FAT_BURN,1,Charge 6
2026-03-31T04:35:00Z,FAT_BURN,1,Charge 6
2026-03-31T04:53:00Z,FAT_BURN,1,Charge 6
2026-03-31T04:54:00Z,FAT_BURN,1,Charge 6
2026-03-31T04:55:00Z,FAT_BURN,1,Charge 6
2026-03-31T04:56:00Z,FAT_BURN,1,Charge 6
2026-03-31T04:57:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:00:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:01:00Z,CARDIO,2,Charge 6
2026-03-31T05:02:00Z,CARDIO,2,Charge 6
2026-03-31T05:03:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:04:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:05:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:15:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:16:00Z,CARDIO,2,Charge 6
2026-03-31T05:25:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:26:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:29:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:30:00Z,FAT_BURN,1,Charge 6
2026-03-31T05:31:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:46:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:49:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:50:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:51:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:52:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:53:00Z,CARDIO,2,Charge 6
2026-03-31T06:54:00Z,FAT_BURN,1,Charge 6
2026-03-31T06:55:00Z,CARDIO,2,Charge 6
2026-03-31T06:56:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:00:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:01:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:02:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:03:00Z,CARDIO,2,Charge 6
2026-03-31T07:04:00Z,CARDIO,2,Charge 6
2026-03-31T07:05:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:31:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:32:00Z,FAT_BURN,1,Charge 6
2026-03-31T07:33:00Z,CARDIO,2,Charge 6
2026-03-31T07:34:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:23:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:24:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:25:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:26:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:27:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:28:00Z,FAT_BURN,1,Charge 6
2026-03-31T10:29:00Z,CARDIO,2,Charge 6
2026-03-31T10:30:00Z,FAT_BURN,1,Charge 6
