start time,end time,data source
2026-03-28T06:28:30Z,2026-03-28T06:41:30Z,Fitbit App
2026-03-28T06:47:00Z,2026-03-28T06:58:00Z,Fitbit App
2026-03-28T08:19:00Z,2026-03-28T08:32:00Z,Fitbit App
2026-03-28T08:52:00Z,2026-03-28T09:24:00Z,Fitbit App
2026-03-28T09:40:00Z,2026-03-28T09:53:00Z,Fitbit App
2026-03-28T10:38:00Z,2026-03-28T11:09:00Z,Fitbit App
2026-03-28T11:48:00Z,2026-03-28T11:58:00Z,Fitbit App
2026-03-28T12:22:00Z,2026-03-28T13:34:00Z,Fitbit App
2026-03-28T14:07:00Z,2026-03-28T14:43:00Z,Fitbit App
2026-03-28T14:52:00Z,2026-03-28T15:49:00Z,Fitbit App
2026-03-28T15:59:00Z,2026-03-28T16:53:00Z,Fitbit App
2026-03-28T17:22:00Z,2026-03-28T17:45:00Z,Fitbit App
2026-03-28T17:52:00Z,2026-03-28T18:03:00Z,Fitbit App
2026-03-28T18:34:00Z,2026-03-28T18:45:00Z,Fitbit App
2026-03-28T18:46:00Z,2026-03-28T19:02:00Z,Fitbit App
2026-03-28T19:12:00Z,2026-03-28T19:32:00Z,Fitbit App
2026-03-28T20:12:00Z,2026-03-28T22:00:00Z,Fitbit App
2026-03-28T22:00:00Z,2026-03-28T22:27:00Z,Fitbit App
2026-03-28T22:43:00Z,2026-03-28T22:53:00Z,Fitbit App
2026-03-28T23:02:00Z,2026-03-28T23:16:00Z,Fitbit App
2026-03-28T23:22:00Z,2026-03-28T23:46:00Z,Fitbit App
