start time,end time,data source
2026-04-05T06:11:00Z,2026-04-05T06:39:00Z,Fitbit App
2026-04-05T06:43:00Z,2026-04-05T07:15:00Z,Fitbit App
2026-04-05T07:32:00Z,2026-04-05T07:51:00Z,Fitbit App
2026-04-05T07:56:00Z,2026-04-05T08:13:00Z,Fitbit App
2026-04-05T08:16:00Z,2026-04-05T08:26:00Z,Fitbit App
2026-04-05T08:51:00Z,2026-04-05T09:29:00Z,Fitbit App
2026-04-05T10:14:00Z,2026-04-05T10:32:00Z,Fitbit App
2026-04-05T10:46:00Z,2026-04-05T11:26:00Z,Fitbit App
2026-04-05T12:16:00Z,2026-04-05T13:14:00Z,Fitbit App
2026-04-05T13:21:00Z,2026-04-05T15:27:00Z,Fitbit App
2026-04-05T15:38:00Z,2026-04-05T15:50:00Z,Fitbit App
2026-04-05T15:51:00Z,2026-04-05T17:07:00Z,Fitbit App
2026-04-05T17:46:00Z,2026-04-05T18:26:00Z,Fitbit App
2026-04-05T18:31:00Z,2026-04-05T18:57:00Z,Fitbit App
2026-04-05T19:01:00Z,2026-04-05T19:47:00Z,Fitbit App
2026-04-05T20:01:00Z,2026-04-05T21:00:00Z,Fitbit App
2026-04-05T21:06:00Z,2026-04-05T21:16:00Z,Fitbit App
2026-04-05T21:21:00Z,2026-04-05T21:36:00Z,Fitbit App
2026-04-05T21:38:00Z,2026-04-05T22:04:00Z,Fitbit App
