timestamp,distance,data source
2026-04-01T15:09:00Z,15.70,Charge 6
2026-04-01T15:10:00Z,25.10,Charge 6
2026-04-01T15:12:00Z,38.70,Charge 6
2026-04-01T15:13:00Z,26.50,Charge 6
2026-04-01T15:22:00Z,2.80,Charge 6
2026-04-01T15:23:00Z,24.40,Charge 6
2026-04-01T15:24:00Z,30.80,Charge 6
2026-04-01T15:25:00Z,24.40,Charge 6
2026-04-01T15:26:00Z,12.90,Charge 6
2026-04-01T15:27:00Z,15.80,Charge 6
2026-04-01T15:28:00Z,5.70,Charge 6
2026-04-01T15:33:00Z,19.40,Charge 6
2026-04-01T15:37:00Z,3.50,Charge 6
2026-04-01T15:56:00Z,13.60,Charge 6
2026-04-01T15:58:00Z,20.10,Charge 6
2026-04-01T15:59:00Z,12.20,Charge 6
2026-04-01T16:00:00Z,5.00,Charge 6
2026-04-01T16:01:00Z,10.70,Charge 6
2026-04-01T16:02:00Z,13.60,Charge 6
2026-04-01T16:03:00Z,3.50,Charge 6
2026-04-01T16:06:00Z,17.90,Charge 6
2026-04-01T16:07:00Z,5.70,Charge 6
2026-04-01T16:08:00Z,11.40,Charge 6
2026-04-01T16:29:00Z,7.80,Charge 6
2026-04-01T16:34:00Z,17.20,Charge 6
2026-04-01T16:35:00Z,26.50,Charge 6
2026-04-01T16:36:00Z,17.20,Charge 6
2026-04-01T16:47:00Z,6.40,Charge 6
2026-04-01T16:52:00Z,12.20,Charge 6
2026-04-01T16:54:00Z,7.80,Charge 6
2026-04-01T16:56:00Z,31.50,Charge 6
2026-04-01T16:57:00Z,22.90,Charge 6
2026-04-01T16:58:00Z,76.10,Charge 6
2026-04-01T16:59:00Z,79.00,Charge 6
2026-04-01T17:00:00Z,39.50,Charge 6
2026-04-01T17:16:00Z,11.40,Charge 6
2026-04-01T17:45:00Z,22.90,Charge 6
2026-04-01T17:46:00Z,11.40,Charge 6
2026-04-01T18:02:00Z,2.80,Charge 6
2026-04-01T18:05:00Z,6.40,Charge 6
2026-04-01T18:08:00Z,6.40,Charge 6
2026-04-01T18:35:00Z,14.30,Charge 6
2026-04-01T18:36:00Z,28.00,Charge 6
2026-04-01T18:37:00Z,5.00,Charge 6
2026-04-01T18:41:00Z,10.70,Charge 6
2026-04-01T19:00:00Z,19.30,Charge 6
2026-04-01T19:22:00Z,6.40,Charge 6
2026-04-01T19:59:00Z,17.90,Charge 6
2026-04-01T20:00:00Z,28.00,Charge 6
2026-04-01T20:01:00Z,30.80,Charge 6
2026-04-01T20:02:00Z,6.40,Charge 6
2026-04-01T20:03:00Z,21.50,Charge 6
2026-04-01T20:04:00Z,10.70,Charge 6
2026-04-01T20:05:00Z,0.70,Charge 6
2026-04-01T20:34:00Z,8.60,Charge 6
2026-04-01T23:06:00Z,5.00,Charge 6
2026-04-02T02:20:00Z,12.20,Charge 6
2026-04-02T02:25:00Z,9.30,Charge 6
2026-04-02T02:26:00Z,14.30,Charge 6
2026-04-02T02:38:00Z,12.20,Charge 6
2026-04-02T04:45:00Z,2.80,Charge 6
2026-04-02T05:46:00Z,8.60,Charge 6
2026-04-02T05:47:00Z,15.70,Charge 6
2026-04-02T05:48:00Z,6.40,Charge 6
2026-04-02T05:50:00Z,20.80,Charge 6
2026-04-02T05:51:00Z,25.10,Charge 6
2026-04-02T05:53:00Z,39.50,Charge 6
2026-04-02T05:54:00Z,21.50,Charge 6
2026-04-02T05:55:00Z,7.10,Charge 6
2026-04-02T05:56:00Z,27.60,Charge 6
2026-04-02T05:57:00Z,63.70,Charge 6
2026-04-02T05:58:00Z,64.10,Charge 6
2026-04-02T05:59:00Z,78.80,Charge 6
2026-04-02T06:00:00Z,78.50,Charge 6
2026-04-02T06:01:00Z,70.40,Charge 6
2026-04-02T06:02:00Z,80.40,Charge 6
2026-04-02T06:03:00Z,85.90,Charge 6
2026-04-02T06:04:00Z,84.70,Charge 6
2026-04-02T06:05:00Z,81.10,Charge 6
2026-04-02T06:06:00Z,81.50,Charge 6
2026-04-02T06:07:00Z,77.70,Charge 6
2026-04-02T06:08:00Z,79.60,Charge 6
2026-04-02T06:09:00Z,78.50,Charge 6
2026-04-02T06:10:00Z,114.00,Charge 6
2026-04-02T06:11:00Z,145.20,Charge 6
2026-04-02T06:12:00Z,140.50,Charge 6
2026-04-02T06:13:00Z,141.90,Charge 6
2026-04-02T06:14:00Z,104.00,Charge 6
2026-04-02T06:15:00Z,74.70,Charge 6
2026-04-02T06:16:00Z,70.30,Charge 6
2026-04-02T06:17:00Z,46.10,Charge 6
2026-04-02T06:18:00Z,48.30,Charge 6
2026-04-02T06:19:00Z,44.80,Charge 6
2026-04-02T06:20:00Z,65.20,Charge 6
2026-04-02T06:21:00Z,79.60,Charge 6
2026-04-02T06:22:00Z,78.80,Charge 6
2026-04-02T06:23:00Z,80.00,Charge 6
2026-04-02T06:24:00Z,105.80,Charge 6
2026-04-02T06:25:00Z,144.20,Charge 6
2026-04-02T06:26:00Z,82.70,Charge 6
2026-04-02T06:27:00Z,16.50,Charge 6
2026-04-02T06:28:00Z,20.10,Charge 6
2026-04-02T06:35:00Z,11.40,Charge 6
2026-04-02T06:36:00Z,35.20,Charge 6
2026-04-02T06:38:00Z,6.40,Charge 6
2026-04-02T06:48:00Z,9.30,Charge 6
2026-04-02T06:51:00Z,16.50,Charge 6
2026-04-02T06:52:00Z,18.60,Charge 6
2026-04-02T06:53:00Z,7.80,Charge 6
2026-04-02T06:54:00Z,12.90,Charge 6
2026-04-02T07:02:00Z,9.30,Charge 6
2026-04-02T07:29:00Z,4.30,Charge 6
2026-04-02T07:44:00Z,7.80,Charge 6
2026-04-02T08:28:00Z,5.00,Charge 6
2026-04-02T08:48:00Z,12.20,Charge 6
2026-04-02T08:51:00Z,11.40,Charge 6
2026-04-02T09:14:00Z,6.40,Charge 6
2026-04-02T09:15:00Z,5.70,Charge 6
2026-04-02T09:16:00Z,13.60,Charge 6
2026-04-02T09:28:00Z,10.70,Charge 6
