timestamp,heart_rate_zone,data source
2026-04-04T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 100},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 101, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-05T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 100},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 101, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-06T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 100},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 101, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-07T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 100},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 101, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-08T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 100},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 101, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-09T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 101},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 102, ""max_heart_rate_bpm"": 120},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 121, ""max_heart_rate_bpm"": 143},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 144, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-10T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 101},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 102, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 143},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 144, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-11T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 100},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 101, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-12T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 99},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 100, ""max_heart_rate_bpm"": 118},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 119, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
2026-04-13T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 99},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 100, ""max_heart_rate_bpm"": 118},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 119, ""max_heart_rate_bpm"": 142},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 143, ""max_heart_rate_bpm"": 220}",Fitbit App
