timestamp,nightly temperature celsius,baseline temperature celsius,relative nightly stddev 30d celsius,data source
2026-03-26T00:00:00Z,33.5964,NaN,NaN,Fitbit App
2026-03-27T00:00:00Z,33.74999999999997,NaN,NaN,Fitbit App
2026-03-28T00:00:00Z,33.718077803203684,33.718077803203684,0.08105293994335311,Fitbit App
2026-03-29T00:00:00Z,34.2572972972973,33.73403890160183,0.29216304276199684,Fitbit App
2026-03-30T00:00:00Z,33.771782178217784,33.74999999999997,0.2543770218736506,Fitbit App
2026-03-31T00:00:00Z,33.77531172069825,33.76089108910888,0.22821055680997113,Fitbit App
2026-04-01T00:00:00Z,33.93834808259588,33.771782178217784,0.21377435210422027,Fitbit App
2026-04-02T00:00:00Z,33.32444444444449,33.76089108910888,0.266587795073254,Fitbit App
2026-04-03T00:00:00Z,33.59125,33.74999999999997,0.25611770801156475,Fitbit App
2026-04-04T00:00:00Z,32.362340425531876,33.73403890160183,0.5000332950298644,Fitbit App
2026-04-05T00:00:00Z,34.06311787072244,33.74999999999997,0.4937780263539485,Fitbit App
2026-04-06T00:00:00Z,33.182206405693925,33.73403890160183,0.4897713064139959,Fitbit App
2026-04-07T00:00:00Z,33.523717948717966,33.718077803203684,0.46954306666772627,Fitbit App
2026-04-08T00:00:00Z,32.86535714285713,33.65723890160184,0.49244388445761017,Fitbit App
2026-04-09T00:00:00Z,33.368941176470585,33.5964,0.47686369626355096,Fitbit App
2026-04-10T00:00:00Z,34.40512820512818,33.65723890160184,0.5090179325162187,Fitbit App
2026-04-11T00:00:00Z,33.82164502164505,33.718077803203684,0.49595478678009436,Fitbit App
2026-04-12T00:00:00Z,32.778793774319055,33.65723890160184,0.5192201500688027,Fitbit App
2026-04-13T00:00:00Z,33.87491408934706,33.718077803203684,0.5097115290187686,Fitbit App
