timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-02T01:15:00Z,17.4,0.0,Fitbit App
2026-04-02T01:20:00Z,10.3,0.0,Fitbit App
2026-04-02T01:25:00Z,8.0,0.0,Fitbit App
2026-04-02T01:30:00Z,9.3,0.0,Fitbit App
2026-04-02T01:35:00Z,10.5,0.0,Fitbit App
2026-04-02T01:40:00Z,10.8,0.0,Fitbit App
2026-04-02T02:10:00Z,9.4,0.0,Fitbit App
2026-04-02T02:15:00Z,9.6,0.0,Fitbit App
2026-04-02T02:40:00Z,11.0,0.0,Fitbit App
2026-04-02T02:45:00Z,10.1,0.0,Fitbit App
2026-04-02T02:50:00Z,10.3,0.0,Fitbit App
2026-04-02T02:55:00Z,10.4,0.0,Fitbit App
2026-04-02T03:00:00Z,9.0,0.0,Fitbit App
2026-04-02T03:05:00Z,10.3,0.0,Fitbit App
2026-04-02T03:10:00Z,9.2,0.0,Fitbit App
2026-04-02T03:15:00Z,10.3,0.0,Fitbit App
2026-04-02T03:20:00Z,10.1,0.0,Fitbit App
2026-04-02T03:25:00Z,10.4,0.0,Fitbit App
2026-04-02T03:30:00Z,10.7,0.0,Fitbit App
2026-04-02T03:35:00Z,10.2,0.0,Fitbit App
2026-04-02T03:40:00Z,9.5,0.0,Fitbit App
2026-04-02T03:45:00Z,12.2,0.0,Fitbit App
2026-04-02T03:50:00Z,11.1,0.0,Fitbit App
2026-04-02T03:55:00Z,12.7,0.0,Fitbit App
2026-04-02T04:00:00Z,13.1,0.0,Fitbit App
2026-04-02T04:05:00Z,10.4,0.0,Fitbit App
2026-04-02T04:10:00Z,10.2,0.0,Fitbit App
2026-04-02T04:15:00Z,12.8,0.0,Fitbit App
2026-04-02T04:20:00Z,9.5,0.0,Fitbit App
2026-04-02T04:25:00Z,8.3,0.0,Fitbit App
2026-04-02T04:30:00Z,8.0,0.0,Fitbit App
2026-04-02T04:35:00Z,12.9,0.0,Fitbit App
2026-04-02T04:40:00Z,10.6,0.0,Fitbit App
2026-04-02T04:45:00Z,14.6,0.0,Fitbit App
2026-04-02T04:50:00Z,10.5,0.0,Fitbit App
2026-04-02T04:55:00Z,12.4,0.0,Fitbit App
2026-04-02T05:00:00Z,11.2,0.0,Fitbit App
2026-04-02T05:05:00Z,11.9,0.0,Fitbit App
2026-04-02T05:10:00Z,11.4,0.0,Fitbit App
2026-04-02T05:15:00Z,10.2,0.0,Fitbit App
2026-04-02T05:20:00Z,14.1,0.0,Fitbit App
2026-04-02T20:45:00Z,14.1,0.0,Fitbit App
2026-04-02T20:50:00Z,14.0,0.0,Fitbit App
2026-04-02T20:55:00Z,13.7,0.0,Fitbit App
2026-04-02T21:00:00Z,12.0,0.0,Fitbit App
2026-04-02T21:05:00Z,11.4,0.0,Fitbit App
2026-04-02T21:10:00Z,14.3,0.0,Fitbit App
2026-04-02T21:15:00Z,13.2,0.0,Fitbit App
2026-04-02T21:20:00Z,11.2,0.0,Fitbit App
2026-04-02T21:25:00Z,10.6,0.0,Fitbit App
2026-04-02T21:30:00Z,9.6,0.0,Fitbit App
2026-04-02T21:35:00Z,8.8,0.0,Fitbit App
2026-04-02T21:40:00Z,13.1,0.0,Fitbit App
2026-04-02T21:45:00Z,15.2,0.0,Fitbit App
2026-04-02T21:50:00Z,15.0,0.0,Fitbit App
2026-04-02T21:55:00Z,13.3,0.0,Fitbit App
2026-04-02T22:00:00Z,15.9,0.0,Fitbit App
2026-04-02T22:05:00Z,17.4,0.0,Fitbit App
2026-04-02T22:10:00Z,17.0,0.0,Fitbit App
2026-04-02T22:15:00Z,15.0,0.0,Fitbit App
2026-04-02T22:20:00Z,15.5,0.0,Fitbit App
2026-04-02T22:25:00Z,11.8,0.0,Fitbit App
2026-04-02T22:30:00Z,16.7,0.0,Fitbit App
2026-04-02T22:35:00Z,14.7,0.0,Fitbit App
2026-04-02T22:40:00Z,11.3,0.0,Fitbit App
2026-04-02T22:45:00Z,13.2,0.0,Fitbit App
2026-04-02T22:50:00Z,14.3,0.0,Fitbit App
2026-04-02T22:55:00Z,12.7,0.0,Fitbit App
2026-04-02T23:00:00Z,13.8,0.0,Fitbit App
2026-04-02T23:05:00Z,11.5,0.0,Fitbit App
2026-04-02T23:10:00Z,10.9,0.0,Fitbit App
2026-04-02T23:15:00Z,8.9,0.0,Fitbit App
2026-04-02T23:20:00Z,12.0,0.0,Fitbit App
2026-04-02T23:25:00Z,10.6,0.0,Fitbit App
2026-04-02T23:30:00Z,10.3,0.0,Fitbit App
2026-04-02T23:35:00Z,11.3,0.0,Fitbit App
2026-04-02T23:40:00Z,12.6,0.0,Fitbit App
2026-04-02T23:45:00Z,10.9,0.0,Fitbit App
2026-04-02T23:50:00Z,10.9,0.0,Fitbit App
2026-04-02T23:55:00Z,9.2,0.0,Fitbit App
2026-04-03T00:00:00Z,10.6,0.0,Fitbit App
2026-04-03T00:05:00Z,12.5,0.0,Fitbit App
2026-04-03T00:10:00Z,12.9,0.0,Fitbit App
2026-04-03T00:15:00Z,10.0,0.0,Fitbit App
2026-04-03T00:20:00Z,9.3,0.0,Fitbit App
2026-04-03T00:25:00Z,10.6,0.0,Fitbit App
2026-04-03T00:30:00Z,9.9,0.0,Fitbit App
2026-04-03T00:35:00Z,11.2,0.0,Fitbit App
2026-04-03T21:30:00Z,9.0,0.0,Fitbit App
2026-04-03T21:35:00Z,8.2,0.0,Fitbit App
2026-04-03T21:50:00Z,27.8,0.0,Fitbit App
2026-04-03T21:55:00Z,15.1,0.0,Fitbit App
2026-04-03T22:00:00Z,15.2,0.0,Fitbit App
2026-04-03T22:05:00Z,16.3,0.0,Fitbit App
2026-04-03T22:10:00Z,14.0,0.0,Fitbit App
2026-04-03T22:15:00Z,12.3,0.0,Fitbit App
2026-04-03T22:20:00Z,8.3,0.0,Fitbit App
2026-04-03T22:25:00Z,10.1,0.0,Fitbit App
2026-04-03T22:30:00Z,11.3,0.0,Fitbit App
2026-04-03T22:35:00Z,8.7,0.0,Fitbit App
2026-04-03T22:40:00Z,8.6,0.0,Fitbit App
2026-04-03T22:45:00Z,9.1,0.0,Fitbit App
2026-04-03T22:50:00Z,9.2,0.0,Fitbit App
2026-04-03T22:55:00Z,12.0,0.0,Fitbit App
2026-04-03T23:00:00Z,10.2,0.0,Fitbit App
2026-04-03T23:05:00Z,12.3,0.0,Fitbit App
2026-04-03T23:10:00Z,13.6,0.0,Fitbit App
2026-04-03T23:15:00Z,10.8,0.0,Fitbit App
2026-04-03T23:20:00Z,8.5,0.0,Fitbit App
2026-04-03T23:25:00Z,10.6,0.0,Fitbit App
2026-04-03T23:30:00Z,14.9,0.0,Fitbit App
2026-04-03T23:35:00Z,22.2,0.0,Fitbit App
2026-04-03T23:40:00Z,18.7,0.0,Fitbit App
2026-04-03T23:45:00Z,12.8,0.0,Fitbit App
2026-04-03T23:50:00Z,11.6,0.0,Fitbit App
2026-04-03T23:55:00Z,12.1,0.0,Fitbit App
2026-04-04T00:00:00Z,11.7,0.0,Fitbit App
2026-04-04T00:05:00Z,10.8,0.0,Fitbit App
2026-04-04T00:10:00Z,10.7,0.0,Fitbit App
2026-04-04T00:15:00Z,9.2,0.0,Fitbit App
2026-04-04T00:20:00Z,8.3,0.0,Fitbit App
2026-04-04T00:25:00Z,7.3,0.0,Fitbit App
2026-04-04T00:30:00Z,11.8,0.0,Fitbit App
2026-04-04T00:40:00Z,8.4,0.0,Fitbit App
2026-04-04T00:45:00Z,9.5,0.0,Fitbit App
2026-04-04T00:50:00Z,8.1,0.0,Fitbit App
2026-04-04T00:55:00Z,8.6,0.0,Fitbit App
