timestamp,beats per minute,data source
2026-04-05T00:00:01Z,70.0,Charge 6
2026-04-05T00:00:03Z,71.0,Charge 6
2026-04-05T00:00:05Z,70.0,Charge 6
2026-04-05T00:00:07Z,71.0,Charge 6
2026-04-05T00:00:09Z,71.0,Charge 6
2026-04-05T00:00:12Z,71.0,Charge 6
2026-04-05T00:00:14Z,70.0,Charge 6
2026-04-05T00:00:17Z,70.0,Charge 6
2026-04-05T00:00:20Z,70.0,Charge 6
2026-04-05T00:00:23Z,70.0,Charge 6
2026-04-05T00:00:26Z,70.0,Charge 6
2026-04-05T00:00:29Z,70.0,Charge 6
2026-04-05T00:00:32Z,70.0,Charge 6
2026-04-05T00:00:35Z,70.0,Charge 6
2026-04-05T00:00:38Z,70.0,Charge 6
2026-04-05T00:00:41Z,70.0,Charge 6
2026-04-05T00:00:44Z,70.0,Charge 6
2026-04-05T00:00:47Z,70.0,Charge 6
2026-04-05T00:00:50Z,70.0,Charge 6
2026-04-05T00:00:53Z,69.0,Charge 6
2026-04-05T00:00:56Z,69.0,Charge 6
2026-04-05T00:00:59Z,69.0,Charge 6
2026-04-05T00:01:02Z,69.0,Charge 6
2026-04-05T00:01:05Z,69.0,Charge 6
2026-04-05T00:01:08Z,69.0,Charge 6
2026-04-05T00:01:11Z,69.0,Charge 6
2026-04-05T00:01:14Z,69.0,Charge 6
2026-04-05T00:01:16Z,70.0,Charge 6
2026-04-05T00:01:18Z,69.0,Charge 6
2026-04-05T00:01:21Z,69.0,Charge 6
2026-04-05T00:01:24Z,69.0,Charge 6
2026-04-05T00:01:25Z,70.0,Charge 6
2026-04-05T00:01:28Z,70.0,Charge 6
2026-04-05T00:01:31Z,70.0,Charge 6
2026-04-05T00:01:34Z,70.0,Charge 6
2026-04-05T00:01:37Z,70.0,Charge 6
2026-04-05T00:01:40Z,70.0,Charge 6
2026-04-05T00:01:43Z,70.0,Charge 6
2026-04-05T00:01:46Z,70.0,Charge 6
2026-04-05T00:01:49Z,70.0,Charge 6
2026-04-05T00:01:52Z,70.0,Charge 6
2026-04-05T00:01:55Z,70.0,Charge 6
2026-04-05T00:01:58Z,70.0,Charge 6
2026-04-05T00:02:01Z,70.0,Charge 6
2026-04-05T00:02:04Z,69.0,Charge 6
2026-04-05T00:02:07Z,69.0,Charge 6
2026-04-05T00:02:10Z,68.0,Charge 6
2026-04-05T00:02:13Z,68.0,Charge 6
2026-04-05T00:02:16Z,68.0,Charge 6
2026-04-05T00:02:19Z,68.0,Charge 6
2026-04-05T00:02:22Z,68.0,Charge 6
2026-04-05T00:02:25Z,68.0,Charge 6
2026-04-05T00:02:28Z,68.0,Charge 6
2026-04-05T00:02:31Z,68.0,Charge 6
2026-04-05T00:02:33Z,69.0,Charge 6
2026-04-05T00:02:36Z,68.0,Charge 6
2026-04-05T00:02:38Z,69.0,Charge 6
2026-04-05T00:02:41Z,69.0,Charge 6
2026-04-05T00:02:42Z,69.0,Charge 6
2026-04-05T00:02:44Z,68.0,Charge 6
2026-04-05T00:02:46Z,67.0,Charge 6
2026-04-05T00:02:48Z,68.0,Charge 6
2026-04-05T00:02:51Z,68.0,Charge 6
2026-04-05T00:02:52Z,67.0,Charge 6
2026-04-05T00:02:54Z,68.0,Charge 6
2026-04-05T00:02:57Z,68.0,Charge 6
2026-04-05T00:03:00Z,68.0,Charge 6
2026-04-05T00:03:03Z,68.0,Charge 6
2026-04-05T00:03:06Z,68.0,Charge 6
2026-04-05T00:03:09Z,68.0,Charge 6
