start time,end time,data source
2026-03-29T05:58:30Z,2026-03-29T09:21:30Z,Fitbit App
2026-03-29T09:22:00Z,2026-03-29T09:39:00Z,Fitbit App
2026-03-29T09:40:00Z,2026-03-29T10:19:00Z,Fitbit App
2026-03-29T10:26:00Z,2026-03-29T10:37:00Z,Fitbit App
2026-03-29T11:25:00Z,2026-03-29T12:05:00Z,Fitbit App
2026-03-29T12:11:00Z,2026-03-29T13:00:00Z,Fitbit App
2026-03-29T13:52:00Z,2026-03-29T14:32:00Z,Fitbit App
2026-03-29T14:44:00Z,2026-03-29T15:20:00Z,Fitbit App
2026-03-29T15:22:00Z,2026-03-29T15:52:00Z,Fitbit App
2026-03-29T15:55:00Z,2026-03-29T16:28:00Z,Fitbit App
2026-03-29T16:29:00Z,2026-03-29T16:55:00Z,Fitbit App
2026-03-29T17:37:00Z,2026-03-29T18:53:00Z,Fitbit App
2026-03-29T18:54:00Z,2026-03-29T20:00:00Z,Fitbit App
2026-03-29T20:27:00Z,2026-03-29T21:00:00Z,Fitbit App
2026-03-29T21:00:00Z,2026-03-29T21:53:00Z,Fitbit App
