timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-03-25T21:35:00Z,21.1,0.0,Fitbit App
2026-03-25T21:40:00Z,12.3,0.0,Fitbit App
2026-03-25T21:45:00Z,10.4,0.0,Fitbit App
2026-03-25T21:50:00Z,10.3,0.0,Fitbit App
2026-03-25T21:55:00Z,10.0,0.0,Fitbit App
2026-03-25T22:00:00Z,8.9,0.0,Fitbit App
2026-03-25T22:05:00Z,9.0,0.0,Fitbit App
2026-03-25T22:10:00Z,9.1,0.0,Fitbit App
2026-03-25T22:15:00Z,12.0,0.0,Fitbit App
2026-03-25T22:20:00Z,11.6,0.0,Fitbit App
2026-03-25T22:25:00Z,9.3,0.0,Fitbit App
2026-03-25T22:30:00Z,10.8,0.0,Fitbit App
2026-03-25T22:35:00Z,10.0,0.0,Fitbit App
2026-03-25T22:40:00Z,11.6,0.0,Fitbit App
2026-03-25T22:45:00Z,8.6,0.0,Fitbit App
2026-03-25T22:50:00Z,8.6,0.0,Fitbit App
2026-03-25T22:55:00Z,10.4,0.0,Fitbit App
2026-03-25T23:00:00Z,11.6,0.0,Fitbit App
2026-03-25T23:05:00Z,7.8,0.0,Fitbit App
2026-03-25T23:10:00Z,10.8,0.0,Fitbit App
2026-03-25T23:15:00Z,10.4,0.0,Fitbit App
2026-03-25T23:20:00Z,10.6,0.0,Fitbit App
2026-03-25T23:25:00Z,8.5,0.0,Fitbit App
2026-03-25T23:30:00Z,10.7,0.0,Fitbit App
2026-03-25T23:35:00Z,17.5,0.0,Fitbit App
2026-03-25T23:40:00Z,16.4,0.0,Fitbit App
2026-03-25T23:45:00Z,15.2,0.0,Fitbit App
2026-03-25T23:50:00Z,13.4,0.0,Fitbit App
2026-03-25T23:55:00Z,10.2,0.0,Fitbit App
2026-03-26T00:00:00Z,12.2,0.0,Fitbit App
2026-03-26T00:05:00Z,12.1,0.0,Fitbit App
2026-03-26T00:10:00Z,10.2,0.0,Fitbit App
2026-03-26T00:15:00Z,11.7,0.0,Fitbit App
2026-03-26T00:20:00Z,15.9,0.0,Fitbit App
2026-03-26T00:25:00Z,10.8,0.0,Fitbit App
2026-03-26T00:30:00Z,10.3,0.0,Fitbit App
2026-03-26T00:35:00Z,8.3,0.0,Fitbit App
2026-03-26T00:40:00Z,9.7,0.0,Fitbit App
2026-03-26T00:45:00Z,10.0,0.0,Fitbit App
2026-03-26T00:50:00Z,8.4,0.0,Fitbit App
2026-03-26T00:55:00Z,9.4,0.0,Fitbit App
2026-03-26T01:00:00Z,9.1,0.0,Fitbit App
2026-03-26T01:05:00Z,9.2,0.0,Fitbit App
2026-03-26T01:10:00Z,10.5,0.0,Fitbit App
2026-03-26T01:15:00Z,12.3,0.0,Fitbit App
2026-03-26T01:20:00Z,13.7,0.0,Fitbit App
2026-03-26T01:25:00Z,17.5,0.0,Fitbit App
2026-03-26T01:30:00Z,17.3,0.0,Fitbit App
2026-03-26T01:35:00Z,18.4,0.0,Fitbit App
2026-03-26T01:40:00Z,23.0,0.0,Fitbit App
2026-03-26T01:45:00Z,19.2,0.0,Fitbit App
2026-03-26T01:50:00Z,18.8,0.0,Fitbit App
2026-03-26T01:55:00Z,18.5,0.0,Fitbit App
2026-03-26T02:00:00Z,16.8,0.0,Fitbit App
2026-03-26T02:05:00Z,10.2,0.0,Fitbit App
2026-03-26T02:10:00Z,10.8,0.0,Fitbit App
