start time,end time,data source
2026-04-10T02:00:00Z,2026-04-10T02:42:00Z,Fitbit App
2026-04-10T02:56:00Z,2026-04-10T03:15:00Z,Fitbit App
2026-04-10T03:21:00Z,2026-04-10T03:31:00Z,Fitbit App
2026-04-10T06:31:00Z,2026-04-10T07:01:00Z,Fitbit App
2026-04-10T07:21:00Z,2026-04-10T07:31:00Z,Fitbit App
2026-04-10T07:41:00Z,2026-04-10T07:55:00Z,Fitbit App
2026-04-10T08:09:00Z,2026-04-10T08:59:00Z,Fitbit App
2026-04-10T09:00:00Z,2026-04-10T09:24:00Z,Fitbit App
2026-04-10T09:27:00Z,2026-04-10T09:37:00Z,Fitbit App
2026-04-10T09:51:00Z,2026-04-10T10:56:00Z,Fitbit App
2026-04-10T11:08:00Z,2026-04-10T11:20:00Z,Fitbit App
2026-04-10T12:26:00Z,2026-04-10T12:42:00Z,Fitbit App
2026-04-10T13:50:00Z,2026-04-10T14:12:00Z,Fitbit App
2026-04-10T14:16:00Z,2026-04-10T14:57:00Z,Fitbit App
2026-04-10T16:06:00Z,2026-04-10T16:23:00Z,Fitbit App
2026-04-10T16:36:00Z,2026-04-10T17:04:00Z,Fitbit App
2026-04-10T17:06:00Z,2026-04-10T18:25:00Z,Fitbit App
2026-04-10T19:17:00Z,2026-04-10T20:37:00Z,Fitbit App
2026-04-10T21:01:00Z,2026-04-10T21:15:00Z,Fitbit App
