timestamp,workout,background,total,data source
2026-04-01T08:37:00Z,0.0,0.30431978785745817,0.30431978785745817,Charge 6
2026-04-01T08:38:00Z,0.0,0.2934823728929715,0.2934823728929715,Charge 6
2026-04-01T11:26:00Z,0.0,0.23956771455346298,0.23956771455346298,Charge 6
2026-04-01T11:43:00Z,0.0,0.24117525408412138,0.24117525408412138,Charge 6
2026-04-01T11:44:00Z,0.0,0.24129061217927078,0.24129061217927078,Charge 6
2026-04-01T11:45:00Z,0.0,0.33284586857994203,0.33284586857994203,Charge 6
2026-04-01T11:46:00Z,0.0,0.3368033253602932,0.3368033253602932,Charge 6
2026-04-01T11:47:00Z,0.0,0.26295139551827434,0.26295139551827434,Charge 6
2026-04-01T11:48:00Z,0.0,0.3068973280821591,0.3068973280821591,Charge 6
2026-04-01T11:49:00Z,0.0,0.7372401324439909,0.7372401324439909,Charge 6
2026-04-01T11:50:00Z,0.0,1.07865118783315,1.07865118783315,Charge 6
2026-04-01T11:51:00Z,0.0,1.568172596370468,1.568172596370468,Charge 6
2026-04-01T11:52:00Z,0.0,1.2031067849019772,1.2031067849019772,Charge 6
2026-04-01T11:53:00Z,0.0,0.5782969260696212,0.5782969260696212,Charge 6
2026-04-01T13:50:00Z,0.0,0.23448702532075646,0.23448702532075646,Charge 6
2026-04-01T13:55:00Z,0.0,0.24178958855389798,0.24178958855389798,Charge 6
2026-04-01T13:56:00Z,0.0,0.2911196079781775,0.2911196079781775,Charge 6
2026-04-01T13:57:00Z,0.0,0.2657225161117252,0.2657225161117252,Charge 6
2026-04-01T13:58:00Z,0.0,0.25949079990934765,0.25949079990934765,Charge 6
2026-04-01T13:59:00Z,0.0,0.2526259963793119,0.2526259963793119,Charge 6
2026-04-01T14:05:00Z,0.0,0.2605643771635079,0.2605643771635079,Charge 6
2026-04-01T17:00:00Z,0.0,0.29209004260678845,0.29209004260678845,Charge 6
2026-04-02T06:03:00Z,0.0,0.2768760255101721,0.2768760255101721,Charge 6
2026-04-02T06:04:00Z,0.0,0.3341512230954801,0.3341512230954801,Charge 6
