start time,end time,data source
2026-04-03T00:44:00Z,2026-04-03T01:44:00Z,Fitbit App
2026-04-03T04:32:30Z,2026-04-03T05:56:30Z,Fitbit App
2026-04-03T06:15:00Z,2026-04-03T06:41:00Z,Fitbit App
2026-04-03T08:01:00Z,2026-04-03T08:31:00Z,Fitbit App
2026-04-03T08:42:00Z,2026-04-03T09:10:00Z,Fitbit App
2026-04-03T10:50:00Z,2026-04-03T11:08:00Z,Fitbit App
2026-04-03T12:00:00Z,2026-04-03T12:14:00Z,Fitbit App
2026-04-03T12:21:00Z,2026-04-03T12:36:00Z,Fitbit App
2026-04-03T12:45:00Z,2026-04-03T13:02:00Z,Fitbit App
2026-04-03T13:47:00Z,2026-04-03T14:16:00Z,Fitbit App
2026-04-03T14:32:00Z,2026-04-03T14:48:00Z,Fitbit App
2026-04-03T14:53:00Z,2026-04-03T15:40:00Z,Fitbit App
2026-04-03T17:23:00Z,2026-04-03T17:34:00Z,Fitbit App
2026-04-03T17:42:00Z,2026-04-03T17:52:00Z,Fitbit App
2026-04-03T17:53:00Z,2026-04-03T18:14:00Z,Fitbit App
2026-04-03T19:07:00Z,2026-04-03T19:50:00Z,Fitbit App
2026-04-03T19:53:00Z,2026-04-03T20:58:00Z,Fitbit App
2026-04-03T21:07:00Z,2026-04-03T21:28:00Z,Fitbit App
