timestamp,steps,distance millimeters,altitude gain millimeters,data source
2026-03-28T07:17:50Z,0,0,0,Charge 6
2026-03-28T07:17:51Z,0,0,0,Charge 6
2026-03-28T07:17:52Z,0,0,0,Charge 6
2026-03-28T07:17:53Z,0,0,0,Charge 6
2026-03-28T07:17:54Z,0,0,0,Charge 6
2026-03-28T07:17:55Z,0,0,0,Charge 6
2026-03-28T07:17:56Z,0,0,0,Charge 6
2026-03-28T07:17:57Z,0,0,0,Charge 6
2026-03-28T07:17:58Z,0,0,0,Charge 6
2026-03-28T07:17:59Z,0,0,0,Charge 6
2026-03-28T07:18:00Z,0,0,0,Charge 6
2026-03-28T07:18:01Z,0,0,0,Charge 6
2026-03-28T07:18:02Z,0,0,0,Charge 6
2026-03-28T07:18:03Z,1,0,0,Charge 6
2026-03-28T07:18:04Z,1,0,0,Charge 6
2026-03-28T07:18:05Z,2,0,0,Charge 6
2026-03-28T07:18:06Z,2,0,0,Charge 6
2026-03-28T07:18:07Z,1,0,0,Charge 6
2026-03-28T07:18:08Z,1,120,0,Charge 6
2026-03-28T07:18:09Z,2,270,0,Charge 6
2026-03-28T07:18:10Z,1,410,0,Charge 6
2026-03-28T07:18:11Z,1,560,0,Charge 6
2026-03-28T07:18:12Z,2,720,0,Charge 6
2026-03-28T07:18:13Z,1,770,0,Charge 6
2026-03-28T07:18:14Z,1,760,0,Charge 6
2026-03-28T07:18:15Z,1,760,0,Charge 6
2026-03-28T07:18:16Z,1,750,0,Charge 6
2026-03-28T07:18:17Z,1,730,0,Charge 6
2026-03-28T07:18:18Z,1,700,0,Charge 6
2026-03-28T07:18:19Z,1,690,0,Charge 6
2026-03-28T07:18:20Z,1,670,0,Charge 6
2026-03-28T07:18:21Z,1,670,0,Charge 6
2026-03-28T07:18:22Z,1,650,0,Charge 6
2026-03-28T07:18:23Z,2,690,0,Charge 6
2026-03-28T07:18:24Z,0,670,0,Charge 6
2026-03-28T07:18:25Z,1,670,0,Charge 6
2026-03-28T07:18:26Z,1,660,0,Charge 6
2026-03-28T07:18:27Z,2,690,0,Charge 6
2026-03-28T07:18:28Z,1,680,0,Charge 6
2026-03-28T07:18:29Z,1,700,0,Charge 6
2026-03-28T07:18:30Z,2,750,0,Charge 6
2026-03-28T07:18:31Z,1,790,0,Charge 6
2026-03-28T07:18:32Z,1,790,0,Charge 6
2026-03-28T07:18:33Z,1,790,0,Charge 6
2026-03-28T07:18:34Z,1,790,0,Charge 6
2026-03-28T07:18:35Z,2,790,0,Charge 6
2026-03-28T07:18:36Z,1,780,0,Charge 6
2026-03-28T07:18:37Z,1,790,0,Charge 6
2026-03-28T07:18:38Z,3,860,0,Charge 6
2026-03-28T07:18:39Z,1,980,0,Charge 6
2026-03-28T07:18:40Z,2,1020,0,Charge 6
2026-03-28T07:18:41Z,1,1060,0,Charge 6
