timestamp,beats per minute,data source
2026-04-08T00:05:20Z,58.0,Charge 6
2026-04-08T00:05:23Z,58.0,Charge 6
2026-04-08T00:05:26Z,58.0,Charge 6
2026-04-08T00:05:29Z,58.0,Charge 6
2026-04-08T00:05:32Z,58.0,Charge 6
2026-04-08T00:05:33Z,57.0,Charge 6
2026-04-08T00:05:36Z,57.0,Charge 6
2026-04-08T00:05:39Z,57.0,Charge 6
2026-04-08T00:05:42Z,57.0,Charge 6
2026-04-08T00:05:45Z,57.0,Charge 6
2026-04-08T00:05:48Z,58.0,Charge 6
2026-04-08T00:05:51Z,58.0,Charge 6
2026-04-08T00:05:54Z,58.0,Charge 6
2026-04-08T00:05:57Z,58.0,Charge 6
2026-04-08T00:06:00Z,57.0,Charge 6
2026-04-08T00:06:03Z,57.0,Charge 6
2026-04-08T00:06:06Z,57.0,Charge 6
2026-04-08T00:06:09Z,57.0,Charge 6
2026-04-08T00:06:12Z,57.0,Charge 6
2026-04-08T00:06:15Z,57.0,Charge 6
2026-04-08T00:06:18Z,57.0,Charge 6
2026-04-08T00:06:20Z,57.0,Charge 6
2026-04-08T00:06:23Z,57.0,Charge 6
2026-04-08T00:06:26Z,57.0,Charge 6
2026-04-08T00:06:29Z,58.0,Charge 6
2026-04-08T00:06:32Z,58.0,Charge 6
2026-04-08T00:06:35Z,58.0,Charge 6
2026-04-08T00:06:38Z,58.0,Charge 6
2026-04-08T00:06:41Z,58.0,Charge 6
2026-04-08T00:06:44Z,58.0,Charge 6
2026-04-08T00:06:47Z,58.0,Charge 6
2026-04-08T00:06:50Z,58.0,Charge 6
2026-04-08T00:06:53Z,58.0,Charge 6
2026-04-08T00:06:56Z,58.0,Charge 6
2026-04-08T00:06:59Z,58.0,Charge 6
2026-04-08T00:07:02Z,58.0,Charge 6
2026-04-08T00:07:05Z,58.0,Charge 6
2026-04-08T00:07:06Z,59.0,Charge 6
2026-04-08T00:07:08Z,60.0,Charge 6
2026-04-08T00:07:10Z,59.0,Charge 6
2026-04-08T00:07:12Z,58.0,Charge 6
2026-04-08T00:07:15Z,58.0,Charge 6
2026-04-08T00:07:18Z,58.0,Charge 6
2026-04-08T00:07:21Z,58.0,Charge 6
2026-04-08T00:07:24Z,58.0,Charge 6
2026-04-08T00:07:27Z,58.0,Charge 6
2026-04-08T00:07:30Z,58.0,Charge 6
2026-04-08T00:07:33Z,57.0,Charge 6
2026-04-08T00:07:35Z,57.0,Charge 6
