timestamp,temperature celsius,data source
2026-04-13T01:51:00Z,34.7,Charge 6
2026-04-13T01:52:00Z,34.7,Charge 6
2026-04-13T01:53:00Z,34.7,Charge 6
2026-04-13T01:54:00Z,34.7,Charge 6
2026-04-13T01:55:00Z,34.8,Charge 6
2026-04-13T01:56:00Z,34.9,Charge 6
2026-04-13T01:57:00Z,35.0,Charge 6
2026-04-13T01:58:00Z,34.8,Charge 6
2026-04-13T01:59:00Z,34.7,Charge 6
2026-04-13T02:00:00Z,34.6,Charge 6
2026-04-13T02:01:00Z,34.5,Charge 6
2026-04-13T02:02:00Z,34.5,Charge 6
2026-04-13T02:03:00Z,34.4,Charge 6
2026-04-13T02:04:00Z,34.4,Charge 6
2026-04-13T02:05:00Z,34.3,Charge 6
2026-04-13T02:06:00Z,34.3,Charge 6
2026-04-13T02:07:00Z,34.3,Charge 6
2026-04-13T02:08:00Z,34.3,Charge 6
2026-04-13T02:09:00Z,34.3,Charge 6
2026-04-13T02:10:00Z,34.3,Charge 6
2026-04-13T02:11:00Z,34.3,Charge 6
2026-04-13T02:12:00Z,34.3,Charge 6
2026-04-13T02:13:00Z,34.3,Charge 6
2026-04-13T02:14:00Z,34.3,Charge 6
2026-04-13T02:15:00Z,34.3,Charge 6
2026-04-13T02:16:00Z,34.3,Charge 6
2026-04-13T02:17:00Z,34.3,Charge 6
2026-04-13T02:18:00Z,34.3,Charge 6
2026-04-13T02:19:00Z,34.3,Charge 6
2026-04-13T02:20:00Z,34.3,Charge 6
2026-04-13T02:21:00Z,34.3,Charge 6
2026-04-13T02:22:00Z,34.4,Charge 6
2026-04-13T02:23:00Z,34.5,Charge 6
2026-04-13T02:24:00Z,34.5,Charge 6
2026-04-13T02:25:00Z,34.6,Charge 6
2026-04-13T02:26:00Z,33.9,Charge 6
2026-04-13T02:27:00Z,33.4,Charge 6
2026-04-13T02:28:00Z,32.7,Charge 6
2026-04-13T02:29:00Z,32.2,Charge 6
2026-04-13T02:30:00Z,32.1,Charge 6
2026-04-13T02:31:00Z,32.2,Charge 6
2026-04-13T02:32:00Z,32.3,Charge 6
2026-04-13T02:33:00Z,32.5,Charge 6
2026-04-13T02:34:00Z,32.6,Charge 6
2026-04-13T02:35:00Z,32.7,Charge 6
2026-04-13T02:36:00Z,32.7,Charge 6
2026-04-13T02:37:00Z,32.8,Charge 6
2026-04-13T02:38:00Z,32.9,Charge 6
2026-04-13T02:39:00Z,32.9,Charge 6
2026-04-13T02:40:00Z,32.9,Charge 6
