timestamp,beats per minute,data source
2026-04-01T00:00:02Z,58.0,Charge 6
2026-04-01T00:00:05Z,58.0,Charge 6
2026-04-01T00:00:08Z,58.0,Charge 6
2026-04-01T00:00:11Z,58.0,Charge 6
2026-04-01T00:00:14Z,58.0,Charge 6
2026-04-01T00:00:17Z,58.0,Charge 6
2026-04-01T00:00:20Z,58.0,Charge 6
2026-04-01T00:00:23Z,58.0,Charge 6
2026-04-01T00:00:26Z,58.0,Charge 6
2026-04-01T00:00:29Z,58.0,Charge 6
2026-04-01T00:00:32Z,58.0,Charge 6
2026-04-01T00:00:35Z,58.0,Charge 6
2026-04-01T00:00:38Z,58.0,Charge 6
2026-04-01T00:00:41Z,58.0,Charge 6
2026-04-01T00:00:43Z,58.0,Charge 6
2026-04-01T00:00:46Z,58.0,Charge 6
2026-04-01T00:00:49Z,58.0,Charge 6
2026-04-01T00:00:52Z,58.0,Charge 6
2026-04-01T00:00:55Z,58.0,Charge 6
2026-04-01T00:00:58Z,59.0,Charge 6
2026-04-01T00:01:00Z,58.0,Charge 6
2026-04-01T00:01:03Z,58.0,Charge 6
2026-04-01T00:01:06Z,58.0,Charge 6
2026-04-01T00:01:09Z,58.0,Charge 6
2026-04-01T00:01:10Z,57.0,Charge 6
2026-04-01T00:01:13Z,57.0,Charge 6
2026-04-01T00:01:15Z,58.0,Charge 6
2026-04-01T00:01:18Z,58.0,Charge 6
2026-04-01T00:01:21Z,58.0,Charge 6
2026-04-01T00:01:23Z,57.0,Charge 6
2026-04-01T00:01:26Z,57.0,Charge 6
2026-04-01T00:01:29Z,57.0,Charge 6
2026-04-01T00:01:31Z,56.0,Charge 6
2026-04-01T00:01:34Z,56.0,Charge 6
2026-04-01T00:01:37Z,56.0,Charge 6
2026-04-01T00:01:40Z,56.0,Charge 6
2026-04-01T00:01:41Z,57.0,Charge 6
2026-04-01T00:01:43Z,58.0,Charge 6
2026-04-01T00:01:46Z,58.0,Charge 6
2026-04-01T00:01:49Z,58.0,Charge 6
2026-04-01T00:01:50Z,57.0,Charge 6
2026-04-01T00:01:52Z,57.0,Charge 6
2026-04-01T00:01:55Z,57.0,Charge 6
2026-04-01T00:01:56Z,58.0,Charge 6
2026-04-01T00:01:59Z,58.0,Charge 6
2026-04-01T00:02:02Z,58.0,Charge 6
2026-04-01T00:02:05Z,58.0,Charge 6
2026-04-01T00:02:08Z,58.0,Charge 6
2026-04-01T00:02:11Z,58.0,Charge 6
2026-04-01T00:02:14Z,58.0,Charge 6
2026-04-01T00:02:17Z,58.0,Charge 6
2026-04-01T00:02:20Z,58.0,Charge 6
2026-04-01T00:02:23Z,58.0,Charge 6
2026-04-01T00:02:26Z,58.0,Charge 6
2026-04-01T00:02:27Z,57.0,Charge 6
2026-04-01T00:02:30Z,57.0,Charge 6
2026-04-01T00:02:33Z,57.0,Charge 6
2026-04-01T00:02:36Z,58.0,Charge 6
2026-04-01T00:02:39Z,58.0,Charge 6
2026-04-01T00:02:42Z,58.0,Charge 6
2026-04-01T00:02:45Z,58.0,Charge 6
2026-04-01T00:02:48Z,58.0,Charge 6
2026-04-01T00:02:51Z,58.0,Charge 6
2026-04-01T00:02:54Z,58.0,Charge 6
2026-04-01T00:02:57Z,58.0,Charge 6
2026-04-01T00:03:00Z,58.0,Charge 6
2026-04-01T00:03:03Z,58.0,Charge 6
2026-04-01T00:03:06Z,58.0,Charge 6
2026-04-01T00:03:07Z,57.0,Charge 6
2026-04-01T00:03:09Z,58.0,Charge 6
2026-04-01T00:03:11Z,57.0,Charge 6
2026-04-01T00:03:14Z,57.0,Charge 6
2026-04-01T00:03:17Z,57.0,Charge 6
2026-04-01T00:03:20Z,57.0,Charge 6
2026-04-01T00:03:21Z,56.0,Charge 6
2026-04-01T00:03:22Z,57.0,Charge 6
2026-04-01T00:03:24Z,56.0,Charge 6
2026-04-01T00:03:27Z,56.0,Charge 6
2026-04-01T00:03:28Z,57.0,Charge 6
2026-04-01T00:03:31Z,57.0,Charge 6
2026-04-01T00:03:34Z,57.0,Charge 6
2026-04-01T00:03:36Z,58.0,Charge 6
2026-04-01T00:03:39Z,58.0,Charge 6
2026-04-01T00:03:42Z,58.0,Charge 6
2026-04-01T00:03:45Z,58.0,Charge 6
2026-04-01T00:03:48Z,58.0,Charge 6
2026-04-01T00:03:51Z,58.0,Charge 6
2026-04-01T00:03:54Z,58.0,Charge 6
2026-04-01T00:03:57Z,58.0,Charge 6
2026-04-01T00:04:00Z,58.0,Charge 6
2026-04-01T00:04:03Z,58.0,Charge 6
2026-04-01T00:04:06Z,58.0,Charge 6
2026-04-01T00:04:09Z,58.0,Charge 6
2026-04-01T00:04:12Z,58.0,Charge 6
2026-04-01T00:04:15Z,58.0,Charge 6
2026-04-01T00:04:16Z,58.0,Charge 6
2026-04-01T00:04:19Z,58.0,Charge 6
2026-04-01T00:04:22Z,58.0,Charge 6
2026-04-01T00:04:25Z,58.0,Charge 6
2026-04-01T00:04:28Z,58.0,Charge 6
2026-04-01T00:04:31Z,58.0,Charge 6
2026-04-01T00:04:34Z,58.0,Charge 6
2026-04-01T00:04:37Z,58.0,Charge 6
2026-04-01T00:04:40Z,58.0,Charge 6
2026-04-01T00:04:43Z,58.0,Charge 6
2026-04-01T00:04:46Z,58.0,Charge 6
2026-04-01T00:04:47Z,59.0,Charge 6
2026-04-01T00:04:49Z,60.0,Charge 6
2026-04-01T00:04:52Z,60.0,Charge 6
2026-04-01T00:04:55Z,59.0,Charge 6
2026-04-01T00:04:58Z,59.0,Charge 6
2026-04-01T00:05:01Z,59.0,Charge 6
2026-04-01T00:05:04Z,58.0,Charge 6
2026-04-01T00:05:07Z,58.0,Charge 6
2026-04-01T00:05:10Z,58.0,Charge 6
2026-04-01T00:05:13Z,58.0,Charge 6
2026-04-01T00:05:16Z,58.0,Charge 6
2026-04-01T00:05:18Z,59.0,Charge 6
2026-04-01T00:05:20Z,60.0,Charge 6
2026-04-01T00:05:23Z,60.0,Charge 6
2026-04-01T00:05:26Z,60.0,Charge 6
2026-04-01T00:05:27Z,59.0,Charge 6
2026-04-01T00:05:29Z,58.0,Charge 6
2026-04-01T00:05:32Z,58.0,Charge 6
2026-04-01T00:05:35Z,58.0,Charge 6
2026-04-01T00:05:38Z,58.0,Charge 6
2026-04-01T00:05:41Z,59.0,Charge 6
2026-04-01T00:05:43Z,60.0,Charge 6
2026-04-01T00:05:46Z,60.0,Charge 6
2026-04-01T00:05:49Z,60.0,Charge 6
2026-04-01T00:05:50Z,59.0,Charge 6
2026-04-01T00:05:53Z,59.0,Charge 6
2026-04-01T00:05:56Z,59.0,Charge 6
2026-04-01T00:05:58Z,60.0,Charge 6
2026-04-01T00:06:01Z,60.0,Charge 6
2026-04-01T00:06:04Z,60.0,Charge 6
2026-04-01T00:06:07Z,60.0,Charge 6
2026-04-01T00:06:08Z,61.0,Charge 6
2026-04-01T00:06:11Z,61.0,Charge 6
2026-04-01T00:06:14Z,61.0,Charge 6
2026-04-01T00:06:15Z,60.0,Charge 6
2026-04-01T00:06:18Z,60.0,Charge 6
2026-04-01T00:06:21Z,60.0,Charge 6
2026-04-01T00:06:24Z,60.0,Charge 6
2026-04-01T00:06:25Z,59.0,Charge 6
2026-04-01T00:06:28Z,59.0,Charge 6
2026-04-01T00:06:31Z,60.0,Charge 6
2026-04-01T00:06:34Z,60.0,Charge 6
2026-04-01T00:06:37Z,60.0,Charge 6
2026-04-01T00:06:38Z,60.0,Charge 6
2026-04-01T00:06:41Z,60.0,Charge 6
2026-04-01T00:06:44Z,60.0,Charge 6
2026-04-01T00:06:47Z,60.0,Charge 6
2026-04-01T00:06:48Z,61.0,Charge 6
2026-04-01T00:06:51Z,61.0,Charge 6
2026-04-01T00:06:52Z,62.0,Charge 6
2026-04-01T00:06:55Z,62.0,Charge 6
2026-04-01T00:06:58Z,62.0,Charge 6
2026-04-01T00:07:01Z,62.0,Charge 6
2026-04-01T00:07:04Z,62.0,Charge 6
2026-04-01T00:07:05Z,61.0,Charge 6
2026-04-01T00:07:08Z,61.0,Charge 6
2026-04-01T00:07:11Z,60.0,Charge 6
2026-04-01T00:07:14Z,60.0,Charge 6
2026-04-01T00:07:15Z,61.0,Charge 6
2026-04-01T00:07:18Z,61.0,Charge 6
2026-04-01T00:07:21Z,61.0,Charge 6
2026-04-01T00:07:22Z,62.0,Charge 6
2026-04-01T00:07:24Z,61.0,Charge 6
2026-04-01T00:07:26Z,62.0,Charge 6
2026-04-01T00:07:29Z,62.0,Charge 6
2026-04-01T00:07:30Z,61.0,Charge 6
2026-04-01T00:07:33Z,61.0,Charge 6
2026-04-01T00:07:34Z,62.0,Charge 6
2026-04-01T00:07:37Z,62.0,Charge 6
2026-04-01T00:07:40Z,62.0,Charge 6
2026-04-01T00:07:42Z,62.0,Charge 6
2026-04-01T00:07:45Z,62.0,Charge 6
2026-04-01T00:07:48Z,62.0,Charge 6
2026-04-01T00:07:51Z,62.0,Charge 6
2026-04-01T00:07:54Z,62.0,Charge 6
2026-04-01T00:07:57Z,62.0,Charge 6
2026-04-01T00:08:00Z,62.0,Charge 6
2026-04-01T00:08:03Z,62.0,Charge 6
2026-04-01T00:08:06Z,62.0,Charge 6
2026-04-01T00:08:09Z,62.0,Charge 6
2026-04-01T00:08:12Z,62.0,Charge 6
2026-04-01T00:08:15Z,62.0,Charge 6
2026-04-01T00:08:18Z,62.0,Charge 6
2026-04-01T00:08:21Z,62.0,Charge 6
2026-04-01T00:08:24Z,62.0,Charge 6
2026-04-01T00:08:27Z,62.0,Charge 6
2026-04-01T00:08:30Z,62.0,Charge 6
2026-04-01T00:08:33Z,62.0,Charge 6
2026-04-01T00:08:35Z,63.0,Charge 6
2026-04-01T00:08:38Z,63.0,Charge 6
2026-04-01T00:08:41Z,64.0,Charge 6
2026-04-01T00:08:44Z,64.0,Charge 6
2026-04-01T00:08:47Z,64.0,Charge 6
2026-04-01T00:08:50Z,64.0,Charge 6
2026-04-01T00:08:53Z,64.0,Charge 6
2026-04-01T00:08:56Z,64.0,Charge 6
2026-04-01T00:08:59Z,64.0,Charge 6
2026-04-01T00:09:00Z,64.0,Charge 6
2026-04-01T00:09:03Z,64.0,Charge 6
2026-04-01T00:09:06Z,64.0,Charge 6
2026-04-01T00:09:08Z,63.0,Charge 6
2026-04-01T00:09:11Z,63.0,Charge 6
2026-04-01T00:09:14Z,63.0,Charge 6
2026-04-01T00:09:17Z,63.0,Charge 6
2026-04-01T00:09:20Z,64.0,Charge 6
2026-04-01T00:09:23Z,64.0,Charge 6
2026-04-01T00:09:26Z,64.0,Charge 6
2026-04-01T00:09:29Z,64.0,Charge 6
2026-04-01T00:09:32Z,64.0,Charge 6
2026-04-01T00:09:33Z,65.0,Charge 6
2026-04-01T00:09:36Z,65.0,Charge 6
2026-04-01T00:09:39Z,66.0,Charge 6
2026-04-01T00:09:42Z,66.0,Charge 6
2026-04-01T00:09:45Z,66.0,Charge 6
2026-04-01T00:09:48Z,66.0,Charge 6
2026-04-01T00:09:51Z,66.0,Charge 6
2026-04-01T00:09:54Z,66.0,Charge 6
2026-04-01T00:09:57Z,66.0,Charge 6
