timestamp,lap time,stroke count,stroke type,data source
2026-03-26T06:17:27Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T06:18:27Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T06:19:26Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T06:45:12Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T06:46:11Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:12:46Z,00:00:07.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:13:58Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:14:46Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:16:47Z,00:00:10.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:18:14Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:19:04Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:20:09Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:21:03Z,00:00:11.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:22:06Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T15:23:31Z,00:00:16.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-26T18:54:44Z,00:00:26.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T05:32:15Z,00:00:56.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T05:33:12Z,00:00:56.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T05:34:10Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:01:07Z,00:00:53.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:05:12Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:06:18Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:07:15Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:08:22Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:09:18Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:11:35Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:12:19Z,00:00:12.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:13:16Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:15:15Z,00:00:25.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T06:16:16Z,00:00:11.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T09:02:26Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T09:58:08Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:07:36Z,00:00:38.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:20:28Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:24:15Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:29:15Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:34:47Z,00:00:47.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:36:38Z,00:00:14.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:37:00Z,00:00:24.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-03-27T13:37:50Z,00:00:22.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
