start time,end time,data source
2026-04-06T07:29:30Z,2026-04-06T14:55:30Z,Fitbit App
2026-04-06T17:46:00Z,2026-04-06T17:58:00Z,Fitbit App
2026-04-06T18:11:00Z,2026-04-06T18:42:00Z,Fitbit App
2026-04-06T19:26:00Z,2026-04-06T19:37:00Z,Fitbit App
2026-04-06T19:41:00Z,2026-04-06T21:00:00Z,Fitbit App
2026-04-06T21:00:00Z,2026-04-06T21:30:00Z,Fitbit App
2026-04-06T21:46:00Z,2026-04-06T22:45:00Z,Fitbit App
2026-04-06T22:46:00Z,2026-04-06T23:41:00Z,Fitbit App
