start time,end time,data source
2026-04-01T04:49:30Z,2026-04-01T05:26:30Z,Fitbit App
2026-04-01T06:42:00Z,2026-04-01T07:48:00Z,Fitbit App
2026-04-01T08:17:00Z,2026-04-01T08:33:00Z,Fitbit App
2026-04-01T08:52:00Z,2026-04-01T11:01:00Z,Fitbit App
2026-04-01T11:02:00Z,2026-04-01T11:18:00Z,Fitbit App
2026-04-01T12:02:00Z,2026-04-01T13:43:00Z,Fitbit App
2026-04-01T14:41:00Z,2026-04-01T15:04:00Z,Fitbit App
2026-04-01T15:34:00Z,2026-04-01T15:56:00Z,Fitbit App
2026-04-01T16:07:00Z,2026-04-01T16:34:00Z,Fitbit App
2026-04-01T16:37:00Z,2026-04-01T16:52:00Z,Fitbit App
2026-04-01T17:02:00Z,2026-04-01T17:45:00Z,Fitbit App
2026-04-01T17:47:00Z,2026-04-01T18:36:00Z,Fitbit App
2026-04-01T18:37:00Z,2026-04-01T19:00:00Z,Fitbit App
2026-04-01T19:01:00Z,2026-04-01T19:46:00Z,Fitbit App
2026-04-01T20:12:00Z,2026-04-01T21:00:00Z,Fitbit App
2026-04-01T21:00:00Z,2026-04-01T21:10:00Z,Fitbit App
