start time,end time,data source
2026-03-30T04:41:30Z,2026-03-30T06:26:30Z,Fitbit App
2026-03-30T06:57:00Z,2026-03-30T07:53:00Z,Fitbit App
2026-03-30T07:58:00Z,2026-03-30T08:28:00Z,Fitbit App
2026-03-30T08:42:00Z,2026-03-30T09:22:00Z,Fitbit App
2026-03-30T09:32:00Z,2026-03-30T09:57:00Z,Fitbit App
2026-03-30T09:58:00Z,2026-03-30T10:49:00Z,Fitbit App
2026-03-30T10:57:00Z,2026-03-30T12:20:00Z,Fitbit App
2026-03-30T12:27:00Z,2026-03-30T13:01:00Z,Fitbit App
2026-03-30T13:47:00Z,2026-03-30T14:21:00Z,Fitbit App
2026-03-30T14:57:00Z,2026-03-30T15:09:00Z,Fitbit App
2026-03-30T15:12:00Z,2026-03-30T15:29:00Z,Fitbit App
2026-03-30T15:44:00Z,2026-03-30T16:04:00Z,Fitbit App
2026-03-30T16:12:00Z,2026-03-30T16:25:00Z,Fitbit App
2026-03-30T16:27:00Z,2026-03-30T16:54:00Z,Fitbit App
2026-03-30T17:14:00Z,2026-03-30T17:27:00Z,Fitbit App
2026-03-30T17:32:00Z,2026-03-30T17:45:00Z,Fitbit App
2026-03-30T18:12:00Z,2026-03-30T18:55:00Z,Fitbit App
2026-03-30T19:17:00Z,2026-03-30T19:37:00Z,Fitbit App
2026-03-30T19:50:00Z,2026-03-30T20:13:00Z,Fitbit App
2026-03-30T20:32:00Z,2026-03-30T20:50:00Z,Fitbit App
