timestamp,lap time,stroke count,stroke type,data source
2026-04-03T05:41:52Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T05:42:47Z,00:00:18.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T06:54:35Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T07:04:38Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T07:19:06Z,00:00:27.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:33:34Z,00:00:37.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:34:19Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:35:52Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:36:26Z,00:00:33.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:45:54Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:48:08Z,00:00:09.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T09:49:08Z,00:00:16.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T12:16:38Z,00:00:19.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T13:17:58Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T13:20:12Z,00:00:22.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T16:14:05Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T17:33:50Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T18:55:09Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-03T18:55:33Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T05:55:54Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:27:03Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:28:02Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:28:23Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:34:15Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:35:21Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-04-04T06:36:10Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
