timestamp,steps,data source
2026-03-26T12:28:00Z,10,Charge 6
2026-03-26T12:30:00Z,4,Charge 6
2026-03-26T12:32:00Z,17,Charge 6
2026-03-26T12:35:00Z,24,Charge 6
2026-03-26T12:36:00Z,16,Charge 6
2026-03-26T12:37:00Z,10,Charge 6
2026-03-26T12:38:00Z,20,Charge 6
2026-03-26T12:39:00Z,3,Charge 6
2026-03-26T12:40:00Z,14,Charge 6
2026-03-26T13:03:00Z,4,Charge 6
2026-03-26T13:04:00Z,26,Charge 6
2026-03-26T13:16:00Z,7,Charge 6
2026-03-26T13:18:00Z,7,Charge 6
2026-03-26T13:19:00Z,9,Charge 6
2026-03-26T13:28:00Z,7,Charge 6
2026-03-26T13:33:00Z,9,Charge 6
2026-03-26T14:06:00Z,34,Charge 6
2026-03-26T14:07:00Z,14,Charge 6
2026-03-26T14:16:00Z,9,Charge 6
2026-03-26T14:35:00Z,12,Charge 6
2026-03-26T14:36:00Z,13,Charge 6
2026-03-26T15:05:00Z,7,Charge 6
2026-03-26T15:09:00Z,28,Charge 6
2026-03-26T15:12:00Z,13,Charge 6
2026-03-26T15:14:00Z,12,Charge 6
2026-03-26T15:16:00Z,9,Charge 6
2026-03-26T15:18:00Z,12,Charge 6
2026-03-26T15:20:00Z,17,Charge 6
2026-03-26T15:21:00Z,36,Charge 6
2026-03-26T15:22:00Z,21,Charge 6
2026-03-26T15:24:00Z,11,Charge 6
2026-03-26T15:29:00Z,12,Charge 6
2026-03-26T15:30:00Z,9,Charge 6
2026-03-26T15:33:00Z,12,Charge 6
2026-03-26T15:34:00Z,30,Charge 6
2026-03-26T15:36:00Z,24,Charge 6
2026-03-26T15:38:00Z,20,Charge 6
2026-03-26T15:39:00Z,8,Charge 6
2026-03-26T15:40:00Z,23,Charge 6
2026-03-26T15:41:00Z,7,Charge 6
2026-03-26T15:42:00Z,10,Charge 6
2026-03-26T15:44:00Z,9,Charge 6
2026-03-26T15:46:00Z,29,Charge 6
2026-03-26T15:47:00Z,29,Charge 6
2026-03-26T15:48:00Z,48,Charge 6
2026-03-26T15:49:00Z,3,Charge 6
2026-03-26T15:50:00Z,6,Charge 6
2026-03-26T15:51:00Z,2,Charge 6
2026-03-26T15:56:00Z,21,Charge 6
2026-03-26T15:57:00Z,20,Charge 6
2026-03-26T15:58:00Z,23,Charge 6
2026-03-26T16:02:00Z,10,Charge 6
