start time,end time,data source
2026-04-13T02:28:00Z,2026-04-13T02:44:00Z,Fitbit App
2026-04-13T03:11:00Z,2026-04-13T03:30:00Z,Fitbit App
2026-04-13T03:36:00Z,2026-04-13T04:06:00Z,Fitbit App
2026-04-13T05:41:00Z,2026-04-13T06:20:00Z,Fitbit App
2026-04-13T06:22:00Z,2026-04-13T06:34:00Z,Fitbit App
2026-04-13T06:58:00Z,2026-04-13T07:08:00Z,Fitbit App
