start time,end time,data source
2026-03-25T20:16:00Z,2026-03-25T20:46:00Z,Fitbit App
2026-03-25T20:46:00Z,2026-03-25T21:01:00Z,Fitbit App
2026-03-25T21:01:00Z,2026-03-25T21:33:00Z,Fitbit App
