timestamp,temperature celsius,data source
2026-03-25T18:51:00Z,26.8,Charge 6
2026-03-25T18:52:00Z,26.7,Charge 6
2026-03-25T18:53:00Z,26.5,Charge 6
2026-03-25T18:54:00Z,26.3,Charge 6
2026-03-25T18:55:00Z,26.1,Charge 6
2026-03-25T18:56:00Z,26.2,Charge 6
2026-03-25T18:57:00Z,25.7,Charge 6
2026-03-25T18:58:00Z,26.0,Charge 6
2026-03-25T18:59:00Z,25.9,Charge 6
2026-03-25T19:00:00Z,25.8,Charge 6
2026-03-25T19:01:00Z,25.8,Charge 6
2026-03-25T19:02:00Z,25.8,Charge 6
2026-03-25T19:03:00Z,25.7,Charge 6
2026-03-25T19:04:00Z,25.7,Charge 6
2026-03-25T19:05:00Z,25.7,Charge 6
2026-03-25T19:06:00Z,25.6,Charge 6
2026-03-25T19:07:00Z,25.6,Charge 6
2026-03-25T19:08:00Z,25.6,Charge 6
2026-03-25T19:09:00Z,25.6,Charge 6
2026-03-25T19:10:00Z,25.5,Charge 6
2026-03-25T19:11:00Z,25.5,Charge 6
2026-03-25T19:12:00Z,25.4,Charge 6
2026-03-25T19:13:00Z,25.5,Charge 6
2026-03-25T19:14:00Z,25.4,Charge 6
2026-03-25T19:15:00Z,25.3,Charge 6
2026-03-25T19:16:00Z,25.3,Charge 6
2026-03-25T19:17:00Z,25.3,Charge 6
2026-03-25T19:18:00Z,25.1,Charge 6
2026-03-25T19:19:00Z,25.2,Charge 6
2026-03-25T19:20:00Z,25.1,Charge 6
2026-03-25T19:21:00Z,25.0,Charge 6
2026-03-25T19:22:00Z,25.0,Charge 6
2026-03-25T19:23:00Z,25.0,Charge 6
2026-03-25T19:24:00Z,24.9,Charge 6
2026-03-25T19:25:00Z,24.9,Charge 6
2026-03-25T19:26:00Z,24.9,Charge 6
2026-03-25T19:27:00Z,24.9,Charge 6
2026-03-25T19:28:00Z,24.9,Charge 6
2026-03-25T19:29:00Z,24.8,Charge 6
2026-03-25T19:30:00Z,24.7,Charge 6
2026-03-25T19:31:00Z,24.7,Charge 6
2026-03-25T19:32:00Z,24.6,Charge 6
2026-03-25T19:33:00Z,24.6,Charge 6
2026-03-25T19:34:00Z,24.6,Charge 6
2026-03-25T19:35:00Z,24.5,Charge 6
2026-03-25T19:36:00Z,24.4,Charge 6
2026-03-25T19:37:00Z,24.3,Charge 6
2026-03-25T19:38:00Z,24.1,Charge 6
2026-03-25T19:39:00Z,24.0,Charge 6
2026-03-25T19:40:00Z,23.9,Charge 6
2026-03-25T19:41:00Z,23.9,Charge 6
2026-03-25T19:42:00Z,23.9,Charge 6
2026-03-25T19:43:00Z,23.9,Charge 6
2026-03-25T19:44:00Z,23.8,Charge 6
2026-03-25T19:45:00Z,23.7,Charge 6
2026-03-25T19:46:00Z,23.6,Charge 6
2026-03-25T19:47:00Z,23.6,Charge 6
2026-03-25T19:48:00Z,23.5,Charge 6
2026-03-25T19:49:00Z,23.4,Charge 6
2026-03-25T19:50:00Z,23.4,Charge 6
2026-03-25T20:11:00Z,30.1,Charge 6
2026-03-25T20:12:00Z,30.4,Charge 6
2026-03-25T20:13:00Z,30.5,Charge 6
2026-03-25T20:14:00Z,30.7,Charge 6
2026-03-25T20:15:00Z,30.7,Charge 6
2026-03-25T20:16:00Z,30.8,Charge 6
2026-03-25T20:17:00Z,30.8,Charge 6
2026-03-25T20:18:00Z,30.8,Charge 6
2026-03-25T20:19:00Z,30.9,Charge 6
2026-03-25T20:20:00Z,30.9,Charge 6
2026-03-25T20:21:00Z,31.0,Charge 6
2026-03-25T20:22:00Z,31.0,Charge 6
2026-03-25T20:23:00Z,31.0,Charge 6
2026-03-25T20:24:00Z,31.0,Charge 6
2026-03-25T20:25:00Z,31.1,Charge 6
2026-03-25T20:26:00Z,31.1,Charge 6
2026-03-25T20:27:00Z,31.1,Charge 6
2026-03-25T20:28:00Z,31.2,Charge 6
2026-03-25T20:29:00Z,31.2,Charge 6
2026-03-25T20:30:00Z,31.2,Charge 6
2026-03-25T20:31:00Z,31.3,Charge 6
2026-03-25T20:32:00Z,31.3,Charge 6
2026-03-25T20:33:00Z,31.2,Charge 6
2026-03-25T20:34:00Z,31.3,Charge 6
2026-03-25T20:35:00Z,31.3,Charge 6
2026-03-25T20:36:00Z,31.3,Charge 6
2026-03-25T20:37:00Z,31.3,Charge 6
2026-03-25T20:38:00Z,31.2,Charge 6
2026-03-25T20:39:00Z,31.2,Charge 6
2026-03-25T20:40:00Z,31.2,Charge 6
2026-03-25T20:41:00Z,31.2,Charge 6
2026-03-25T20:42:00Z,31.1,Charge 6
2026-03-25T20:43:00Z,31.1,Charge 6
2026-03-25T20:44:00Z,31.1,Charge 6
2026-03-25T20:45:00Z,31.1,Charge 6
2026-03-25T20:46:00Z,31.0,Charge 6
2026-03-25T20:47:00Z,31.0,Charge 6
2026-03-25T20:48:00Z,31.0,Charge 6
2026-03-25T20:49:00Z,31.0,Charge 6
2026-03-25T20:50:00Z,31.0,Charge 6
2026-03-25T20:51:00Z,31.0,Charge 6
2026-03-25T20:52:00Z,31.0,Charge 6
2026-03-25T20:53:00Z,31.0,Charge 6
2026-03-25T20:54:00Z,31.1,Charge 6
2026-03-25T20:55:00Z,31.2,Charge 6
2026-03-25T20:56:00Z,31.1,Charge 6
