start time,end time,data source
2026-03-31T03:42:00Z,2026-03-31T04:05:00Z,Fitbit App
2026-03-31T05:52:00Z,2026-03-31T06:21:00Z,Fitbit App
2026-03-31T07:07:00Z,2026-03-31T07:27:00Z,Fitbit App
2026-03-31T07:38:00Z,2026-03-31T09:25:00Z,Fitbit App
2026-03-31T09:42:00Z,2026-03-31T10:03:00Z,Fitbit App
2026-03-31T10:37:00Z,2026-03-31T11:02:00Z,Fitbit App
2026-03-31T11:37:00Z,2026-03-31T11:50:00Z,Fitbit App
2026-03-31T12:23:00Z,2026-03-31T14:17:00Z,Fitbit App
2026-03-31T15:29:00Z,2026-03-31T15:57:00Z,Fitbit App
2026-03-31T16:03:00Z,2026-03-31T17:10:00Z,Fitbit App
2026-03-31T17:37:00Z,2026-03-31T17:52:00Z,Fitbit App
2026-03-31T17:57:00Z,2026-03-31T19:55:00Z,Fitbit App
2026-03-31T20:12:00Z,2026-03-31T21:00:00Z,Fitbit App
2026-03-31T21:00:00Z,2026-03-31T23:06:00Z,Fitbit App
