start time,end time,data source
2026-04-12T07:07:00Z,2026-04-12T07:33:00Z,Fitbit App
2026-04-12T07:37:00Z,2026-04-12T07:50:00Z,Fitbit App
2026-04-12T07:56:00Z,2026-04-12T08:07:00Z,Fitbit App
2026-04-12T09:13:00Z,2026-04-12T09:25:00Z,Fitbit App
2026-04-12T10:07:00Z,2026-04-12T10:34:00Z,Fitbit App
2026-04-12T11:52:00Z,2026-04-12T12:24:00Z,Fitbit App
2026-04-12T12:39:00Z,2026-04-12T13:29:00Z,Fitbit App
2026-04-12T13:56:00Z,2026-04-12T14:10:00Z,Fitbit App
2026-04-12T14:11:00Z,2026-04-12T14:51:00Z,Fitbit App
2026-04-12T14:57:00Z,2026-04-12T15:09:00Z,Fitbit App
2026-04-12T15:14:00Z,2026-04-12T15:32:00Z,Fitbit App
2026-04-12T15:57:00Z,2026-04-12T16:12:00Z,Fitbit App
2026-04-12T16:17:00Z,2026-04-12T16:49:00Z,Fitbit App
2026-04-12T16:50:00Z,2026-04-12T17:23:00Z,Fitbit App
2026-04-12T17:31:00Z,2026-04-12T18:32:00Z,Fitbit App
2026-04-12T18:33:00Z,2026-04-12T19:17:00Z,Fitbit App
2026-04-12T19:31:00Z,2026-04-12T19:45:00Z,Fitbit App
2026-04-12T19:51:00Z,2026-04-12T20:13:00Z,Fitbit App
2026-04-12T20:34:00Z,2026-04-12T21:00:00Z,Fitbit App
2026-04-12T21:00:00Z,2026-04-12T21:30:00Z,Fitbit App
