start time,end time,data source
2026-03-26T06:51:00Z,2026-03-26T07:01:00Z,Fitbit App
2026-03-26T09:33:00Z,2026-03-26T10:03:00Z,Fitbit App
2026-03-26T10:04:00Z,2026-03-26T10:22:00Z,Fitbit App
2026-03-26T10:32:00Z,2026-03-26T10:46:00Z,Fitbit App
2026-03-26T10:47:00Z,2026-03-26T11:03:00Z,Fitbit App
2026-03-26T11:19:00Z,2026-03-26T11:48:00Z,Fitbit App
2026-03-26T12:46:00Z,2026-03-26T13:04:00Z,Fitbit App
2026-03-26T13:05:00Z,2026-03-26T13:33:00Z,Fitbit App
2026-03-26T13:34:00Z,2026-03-26T14:06:00Z,Fitbit App
2026-03-26T14:12:00Z,2026-03-26T15:09:00Z,Fitbit App
2026-03-26T16:43:00Z,2026-03-26T17:01:00Z,Fitbit App
2026-03-26T17:43:00Z,2026-03-26T18:35:00Z,Fitbit App
2026-03-26T19:02:00Z,2026-03-26T19:23:00Z,Fitbit App
2026-03-26T19:47:00Z,2026-03-26T21:02:00Z,Fitbit App
