start time,end time,data source
2026-04-02T05:30:00Z,2026-04-02T05:50:00Z,Fitbit App
2026-04-02T07:04:00Z,2026-04-02T09:28:00Z,Fitbit App
2026-04-02T09:37:00Z,2026-04-02T09:49:00Z,Fitbit App
2026-04-02T10:22:00Z,2026-04-02T10:42:00Z,Fitbit App
2026-04-02T11:37:00Z,2026-04-02T11:57:00Z,Fitbit App
2026-04-02T12:22:00Z,2026-04-02T12:36:00Z,Fitbit App
2026-04-02T12:41:00Z,2026-04-02T12:51:00Z,Fitbit App
2026-04-02T12:52:00Z,2026-04-02T13:07:00Z,Fitbit App
2026-04-02T13:38:00Z,2026-04-02T13:49:00Z,Fitbit App
2026-04-02T13:57:00Z,2026-04-02T14:58:00Z,Fitbit App
2026-04-02T14:59:00Z,2026-04-02T15:48:00Z,Fitbit App
2026-04-02T16:12:00Z,2026-04-02T16:22:00Z,Fitbit App
2026-04-02T16:26:00Z,2026-04-02T17:15:00Z,Fitbit App
2026-04-02T17:24:00Z,2026-04-02T17:40:00Z,Fitbit App
2026-04-02T17:45:00Z,2026-04-02T18:33:00Z,Fitbit App
2026-04-02T18:37:00Z,2026-04-02T20:38:00Z,Fitbit App
