start time,end time,data source
2026-03-27T05:10:00Z,2026-03-27T05:26:00Z,Fitbit App
2026-03-27T06:42:00Z,2026-03-27T07:01:00Z,Fitbit App
2026-03-27T07:07:00Z,2026-03-27T07:17:00Z,Fitbit App
2026-03-27T07:26:00Z,2026-03-27T08:05:00Z,Fitbit App
2026-03-27T08:08:00Z,2026-03-27T08:18:00Z,Fitbit App
2026-03-27T08:22:00Z,2026-03-27T09:00:00Z,Fitbit App
2026-03-27T09:26:00Z,2026-03-27T09:36:00Z,Fitbit App
2026-03-27T09:37:00Z,2026-03-27T10:22:00Z,Fitbit App
2026-03-27T10:40:00Z,2026-03-27T10:53:00Z,Fitbit App
2026-03-27T10:57:00Z,2026-03-27T11:58:00Z,Fitbit App
2026-03-27T12:11:00Z,2026-03-27T12:31:00Z,Fitbit App
2026-03-27T13:09:00Z,2026-03-27T13:20:00Z,Fitbit App
2026-03-27T14:57:00Z,2026-03-27T15:16:00Z,Fitbit App
2026-03-27T15:44:00Z,2026-03-27T15:57:00Z,Fitbit App
2026-03-27T15:58:00Z,2026-03-27T16:40:00Z,Fitbit App
2026-03-27T17:42:30Z,2026-03-27T18:11:30Z,Fitbit App
2026-03-27T18:12:00Z,2026-03-27T18:37:00Z,Fitbit App
2026-03-27T20:17:00Z,2026-03-27T20:34:00Z,Fitbit App
2026-03-27T20:52:00Z,2026-03-27T21:18:00Z,Fitbit App
2026-03-27T21:22:00Z,2026-03-27T22:00:00Z,Fitbit App
2026-03-27T22:07:00Z,2026-03-27T22:23:00Z,Fitbit App
2026-03-27T22:28:00Z,2026-03-27T23:09:00Z,Fitbit App
