timestamp,Infrared to Red Signal Ratio
04/01/26 02:13:01,27
04/01/26 02:14:01,-4
04/01/26 02:15:01,-34
04/01/26 02:16:01,-31
04/01/26 02:17:00,-18
04/01/26 02:18:00,-63
04/01/26 02:19:00,-23
04/01/26 02:20:00,-36
04/01/26 02:21:00,-30
04/01/26 02:22:00,0
04/01/26 02:23:00,-24
04/01/26 02:24:00,8
04/01/26 02:25:00,11
04/01/26 02:26:00,-4
04/01/26 02:27:00,0
04/01/26 02:28:00,26
04/01/26 02:29:00,0
04/01/26 02:30:00,-4
04/01/26 02:31:00,-4
04/01/26 02:32:03,2
04/01/26 02:33:03,-8
04/01/26 02:34:03,-82
04/01/26 02:35:03,-47
04/01/26 02:36:03,-49
04/01/26 02:37:03,-21
04/01/26 02:38:03,18
04/01/26 02:39:03,-26
04/01/26 02:40:03,-21
04/01/26 02:41:03,-26
04/01/26 02:42:03,-25
04/01/26 02:43:03,-6
04/01/26 02:44:03,-34
04/01/26 02:45:03,-37
04/01/26 02:46:56,-9
04/01/26 02:47:56,-28
04/01/26 02:48:56,0
04/01/26 02:49:56,-8
04/01/26 02:50:56,-10
04/01/26 02:51:56,-4
04/01/26 02:52:56,-12
04/01/26 02:53:56,0
04/01/26 02:54:56,0
04/01/26 02:55:56,24
04/01/26 02:56:56,0
04/01/26 02:57:56,-11
04/01/26 02:58:56,0
04/01/26 02:59:56,-17
04/01/26 03:00:56,0
04/01/26 03:02:03,0
04/01/26 03:03:03,1
04/01/26 03:04:03,44
04/01/26 03:05:03,0
04/01/26 03:06:03,43
04/01/26 03:07:03,0
04/01/26 03:08:03,-41
04/01/26 03:09:03,-4
04/01/26 03:10:03,-20
04/01/26 03:11:03,0
04/01/26 03:12:03,17
04/01/26 03:13:03,-12
04/01/26 03:14:03,11
04/01/26 03:15:03,66
04/01/26 03:16:03,3
04/01/26 03:17:07,-2
04/01/26 03:18:07,28
04/01/26 03:19:07,84
04/01/26 03:20:07,76
04/01/26 03:21:07,1
04/01/26 03:22:07,2
04/01/26 03:23:07,27
04/01/26 03:24:07,-2
04/01/26 03:25:07,-31
04/01/26 03:26:07,-16
04/01/26 03:27:07,1
04/01/26 03:28:07,28
04/01/26 03:29:07,27
04/01/26 03:30:07,-2
04/01/26 03:31:07,-2
04/01/26 03:32:07,17
04/01/26 03:33:07,-17
04/01/26 03:34:07,-12
04/01/26 03:35:07,-34
04/01/26 03:36:07,-20
04/01/26 03:37:07,-33
04/01/26 03:38:07,-23
04/01/26 03:39:07,0
04/01/26 03:40:07,1
04/01/26 03:41:07,4
04/01/26 03:42:07,-7
04/01/26 03:43:07,-65
04/01/26 03:44:07,-14
04/01/26 03:45:07,-39
04/01/26 03:46:07,-36
04/01/26 03:47:06,-29
04/01/26 03:48:06,-17
04/01/26 03:49:06,-8
04/01/26 03:50:06,-1
04/01/26 03:51:06,-21
04/01/26 03:52:06,-23
04/01/26 03:53:06,-51
04/01/26 03:54:06,-22
04/01/26 03:55:06,0
04/01/26 03:56:06,-17
04/01/26 03:57:06,1
04/01/26 03:58:06,34
04/01/26 03:59:06,-4
04/01/26 04:00:06,-20
04/01/26 04:01:06,-11
04/01/26 04:02:06,1
04/01/26 04:03:11,-17
04/01/26 04:04:11,0
04/01/26 04:05:11,-63
04/01/26 04:06:11,0
04/01/26 04:07:11,-38
04/01/26 04:08:11,-2
04/01/26 04:09:11,-1
04/01/26 04:10:11,0
04/01/26 04:11:11,-1
04/01/26 04:12:11,4
04/01/26 04:13:11,5
04/01/26 04:14:11,-2
04/01/26 04:15:11,-2
04/01/26 04:16:11,0
04/01/26 04:17:11,-21
04/01/26 04:18:12,-47
04/01/26 04:19:12,-15
04/01/26 04:20:12,-13
04/01/26 04:21:12,1
04/01/26 04:22:12,0
04/01/26 04:23:12,17
04/01/26 04:24:12,-15
04/01/26 04:25:12,6
04/01/26 04:26:12,-10
04/01/26 04:27:12,-9
04/01/26 04:28:12,-8
04/01/26 04:29:12,-5
04/01/26 04:30:12,1
04/01/26 04:31:12,-18
04/01/26 04:32:12,-1
04/01/26 04:33:13,-16
04/01/26 04:34:13,-13
04/01/26 04:35:13,-7
04/01/26 04:36:13,0
04/01/26 04:37:13,0
04/01/26 04:38:13,36
04/01/26 04:39:13,-2
04/01/26 04:40:13,6
04/01/26 04:41:13,4
04/01/26 04:42:13,-26
04/01/26 04:43:13,1
04/01/26 04:44:13,-58
04/01/26 04:45:13,-19
04/01/26 04:46:13,1
04/01/26 04:47:13,-26
04/01/26 04:48:16,12
04/01/26 04:49:16,0
04/01/26 04:50:16,0
04/01/26 04:51:16,0
04/01/26 04:52:16,0
04/01/26 04:53:16,-31
04/01/26 04:54:16,-6
04/01/26 04:55:16,-45
04/01/26 04:56:16,0
04/01/26 04:57:16,0
04/01/26 04:58:16,1
04/01/26 04:59:16,-24
04/01/26 05:00:16,-9
04/01/26 05:01:16,-4
04/01/26 05:02:16,0
04/01/26 05:03:14,-47
04/01/26 05:04:14,0
04/01/26 05:05:14,-5
04/01/26 05:06:14,-4
04/01/26 05:07:14,-13
04/01/26 05:08:14,-19
04/01/26 05:09:14,-40
04/01/26 05:10:14,-8
04/01/26 05:11:14,-1
04/01/26 05:12:14,-10
04/01/26 05:13:14,-17
04/01/26 05:14:14,28
04/01/26 05:15:14,-15
04/01/26 05:16:14,-25
04/01/26 05:17:14,7
04/01/26 05:18:19,-2
04/01/26 05:19:19,7
04/01/26 05:20:19,5
04/01/26 05:21:19,-4
04/01/26 05:22:19,-10
04/01/26 05:23:19,-4
04/01/26 05:24:19,-31
04/01/26 05:25:19,-11
04/01/26 05:26:19,10
04/01/26 05:27:19,-13
04/01/26 05:28:19,1
04/01/26 05:29:19,0
04/01/26 05:30:19,8
04/01/26 05:31:19,10
04/01/26 05:32:19,-7
04/01/26 05:33:19,-5
04/01/26 05:34:19,-2
04/01/26 05:35:19,2
04/01/26 05:36:19,17
04/01/26 05:37:19,21
04/01/26 05:38:19,16
04/01/26 05:39:19,21
04/01/26 05:40:19,0
04/01/26 05:41:19,0
04/01/26 05:42:19,4
04/01/26 05:43:19,60
04/01/26 05:44:19,8
04/01/26 05:45:19,1
04/01/26 05:46:19,23
04/01/26 05:47:19,0
04/01/26 05:48:22,-4
04/01/26 05:49:22,17
04/01/26 05:50:22,-23
04/01/26 05:51:22,3
04/01/26 05:52:22,8
04/01/26 05:53:22,2
04/01/26 05:54:22,30
04/01/26 05:55:22,3
04/01/26 05:56:22,23
04/01/26 05:57:22,0
04/01/26 05:58:22,-8
04/01/26 05:59:22,1
04/01/26 06:00:22,34
04/01/26 06:01:22,-13
04/01/26 06:02:22,0
04/01/26 06:03:24,-32
04/01/26 06:04:24,-6
04/01/26 06:05:24,11
04/01/26 06:06:24,-8
04/01/26 06:07:24,0
04/01/26 06:08:24,-11
04/01/26 06:09:24,0
04/01/26 06:10:24,-48
04/01/26 06:11:24,0
04/01/26 06:12:24,-6
04/01/26 06:13:24,43
04/01/26 06:14:24,-5
04/01/26 06:15:24,8
04/01/26 06:16:24,-28
04/01/26 06:17:24,1
04/01/26 06:18:24,-13
04/01/26 06:19:24,-8
04/01/26 06:20:24,0
04/01/26 06:21:24,-44
04/01/26 06:22:24,0
04/01/26 06:23:24,0
04/01/26 06:24:24,-11
04/01/26 06:25:24,0
04/01/26 06:26:24,4
04/01/26 06:27:24,21
04/01/26 06:28:24,52
04/01/26 06:29:24,6
04/01/26 06:30:24,-50
04/01/26 06:31:25,-4
04/01/26 06:32:25,0
04/01/26 06:33:25,47
04/01/26 06:34:25,0
04/01/26 06:35:25,0
04/01/26 06:36:25,-8
04/01/26 06:37:25,9
04/01/26 06:38:25,-40
04/01/26 06:39:25,53
04/01/26 06:40:25,-39
04/01/26 06:41:25,0
04/01/26 06:42:25,-9
04/01/26 06:43:25,-4
04/01/26 06:44:25,-47
04/01/26 06:45:25,0
04/01/26 06:46:26,2
04/01/26 06:47:26,21
04/01/26 06:48:26,2
04/01/26 06:49:26,6
04/01/26 06:50:26,26
04/01/26 06:51:26,0
04/01/26 06:52:26,3
04/01/26 06:53:26,0
04/01/26 06:54:26,47
04/01/26 06:55:26,0
04/01/26 06:56:26,0
04/01/26 06:57:26,0
04/01/26 06:58:26,0
04/01/26 06:59:26,-1
04/01/26 07:00:26,25
04/01/26 07:01:27,-4
