timestamp,Infrared to Red Signal Ratio
03/26/26 00:00:00,-28
03/26/26 00:01:00,-22
03/26/26 00:02:00,-16
03/26/26 00:03:00,2
03/26/26 00:04:00,4
03/26/26 00:05:00,-32
03/26/26 00:06:00,1
03/26/26 00:07:00,-15
03/26/26 00:08:00,18
03/26/26 00:09:00,5
03/26/26 00:10:00,-4
03/26/26 00:11:00,0
03/26/26 00:12:00,5
03/26/26 00:13:00,-2
03/26/26 00:14:00,-4
03/26/26 00:15:00,-2
03/26/26 00:16:00,3
03/26/26 00:17:00,33
03/26/26 00:18:00,1
03/26/26 00:19:00,0
03/26/26 00:20:00,-7
03/26/26 00:21:00,-3
03/26/26 00:22:00,-23
03/26/26 00:23:00,-29
03/26/26 00:24:00,-24
03/26/26 00:25:00,-11
03/26/26 00:26:23,7
03/26/26 00:27:23,65
03/26/26 00:28:23,-73
03/26/26 00:29:23,0
03/26/26 00:30:23,-9
03/26/26 00:31:23,-38
03/26/26 00:32:23,36
03/26/26 00:33:23,1
03/26/26 00:34:23,-56
03/26/26 00:35:23,-72
03/26/26 00:36:23,23
03/26/26 00:37:23,-19
03/26/26 00:38:23,-18
03/26/26 00:39:23,-60
03/26/26 00:40:23,22
03/26/26 00:41:23,0
03/26/26 00:42:23,30
03/26/26 00:43:23,54
03/26/26 00:44:23,-23
03/26/26 00:45:23,-4
03/26/26 00:46:23,0
03/26/26 00:47:23,4
03/26/26 00:48:23,1
03/26/26 00:49:23,45
03/26/26 00:50:23,0
03/26/26 00:51:23,25
03/26/26 00:52:23,-4
03/26/26 00:53:23,21
03/26/26 00:54:23,-5
03/26/26 00:55:23,-61
03/26/26 00:56:23,-38
03/26/26 00:57:19,-93
03/26/26 00:58:19,-51
03/26/26 00:59:19,-50
03/26/26 01:00:19,19
03/26/26 01:01:19,34
03/26/26 01:02:19,0
03/26/26 01:03:19,-71
03/26/26 01:04:19,-74
03/26/26 01:05:19,-84
03/26/26 01:06:19,-89
03/26/26 01:07:19,-43
03/26/26 01:08:19,-70
03/26/26 01:09:19,3
03/26/26 01:10:19,-13
03/26/26 01:11:19,-4
03/26/26 01:12:22,0
03/26/26 01:13:22,10
03/26/26 01:14:22,-17
03/26/26 01:15:22,-23
03/26/26 01:16:22,-16
03/26/26 01:17:22,-75
03/26/26 01:18:22,-72
03/26/26 01:19:22,-12
03/26/26 01:20:22,-48
