timestamp,Infrared to Red Signal Ratio
04/08/26 00:00:31,0
04/08/26 00:01:31,-29
04/08/26 00:02:31,-4
04/08/26 00:03:31,17
04/08/26 00:04:31,1
04/08/26 00:05:31,6
04/08/26 00:06:31,1
04/08/26 00:07:31,-13
04/08/26 00:08:31,1
04/08/26 00:09:31,-7
04/08/26 00:10:31,0
04/08/26 00:11:31,-9
04/08/26 00:12:31,4
04/08/26 00:13:31,-39
04/08/26 00:14:31,0
04/08/26 00:15:31,5
04/08/26 00:16:31,4
04/08/26 00:17:32,-3
04/08/26 00:18:32,65
04/08/26 00:19:32,40
04/08/26 00:20:32,24
04/08/26 00:21:32,1
04/08/26 00:22:32,-5
04/08/26 00:23:32,-47
04/08/26 00:24:32,-30
04/08/26 00:25:32,-33
04/08/26 00:26:32,-61
04/08/26 00:27:32,13
04/08/26 00:28:32,-21
04/08/26 00:29:32,-1
04/08/26 00:30:32,-22
04/08/26 00:31:32,34
04/08/26 00:32:32,0
04/08/26 00:33:32,5
04/08/26 00:34:32,22
04/08/26 00:35:32,-13
04/08/26 00:36:32,-1
04/08/26 00:37:32,13
04/08/26 00:38:32,2
04/08/26 00:39:32,-5
04/08/26 00:40:32,1
04/08/26 00:41:32,-17
04/08/26 00:42:32,0
04/08/26 00:43:32,-60
04/08/26 00:44:32,-22
04/08/26 00:45:32,17
04/08/26 00:46:32,-8
04/08/26 00:47:32,5
04/08/26 00:48:33,2
04/08/26 00:49:33,-46
04/08/26 00:50:33,13
04/08/26 00:51:33,2
04/08/26 00:52:33,8
04/08/26 00:53:33,-1
04/08/26 00:54:33,0
04/08/26 00:55:33,39
04/08/26 00:56:33,-2
04/08/26 00:57:33,-21
04/08/26 00:58:33,14
04/08/26 00:59:33,4
04/08/26 01:00:33,0
04/08/26 01:01:33,0
04/08/26 01:02:33,-31
04/08/26 01:41:00,-11
04/08/26 01:42:00,-43
04/08/26 01:43:00,-20
04/08/26 01:44:00,-35
04/08/26 01:45:00,-26
04/08/26 01:46:00,-15
04/08/26 01:47:00,-26
04/08/26 01:48:00,0
04/08/26 01:49:00,0
04/08/26 01:50:00,-94
04/08/26 01:51:00,18
04/08/26 01:52:00,-42
04/08/26 01:53:00,-29
04/08/26 01:54:00,-23
04/08/26 01:55:00,-32
04/08/26 01:56:00,-20
04/08/26 01:57:00,-36
04/08/26 01:58:00,-41
04/08/26 01:59:00,-8
04/08/26 02:00:00,0
04/08/26 02:01:00,0
04/08/26 02:02:00,-8
04/08/26 02:03:00,35
04/08/26 02:04:00,-1
04/08/26 02:05:01,-6
04/08/26 02:06:01,-1
04/08/26 02:07:01,-2
04/08/26 02:08:01,28
04/08/26 02:09:01,-4
04/08/26 02:10:01,33
04/08/26 02:11:01,9
04/08/26 02:12:01,-4
04/08/26 02:13:01,-82
04/08/26 02:14:01,-11
04/08/26 02:15:01,-32
04/08/26 02:16:01,-4
04/08/26 02:17:01,-78
04/08/26 02:18:01,-7
04/08/26 02:19:01,-81
04/08/26 02:20:01,4
04/08/26 02:21:01,-30
04/08/26 02:22:01,-47
04/08/26 02:23:01,-16
04/08/26 02:24:01,-4
04/08/26 02:25:01,-8
04/08/26 02:26:01,0
04/08/26 02:27:01,0
04/08/26 02:28:01,-4
04/08/26 02:29:01,0
04/08/26 02:30:01,-23
04/08/26 02:31:01,0
04/08/26 02:32:01,0
04/08/26 02:33:01,0
04/08/26 02:34:01,20
04/08/26 02:35:01,0
04/08/26 02:36:01,-3
04/08/26 03:09:30,-20
04/08/26 03:10:30,26
04/08/26 03:11:30,79
04/08/26 03:12:30,17
04/08/26 03:13:30,24
04/08/26 03:14:30,12
04/08/26 03:15:30,20
04/08/26 03:16:30,1
04/08/26 03:17:30,0
04/08/26 03:18:30,6
04/08/26 03:19:30,37
04/08/26 03:20:30,43
04/08/26 03:21:30,38
04/08/26 03:22:30,43
04/08/26 03:23:30,18
04/08/26 03:24:30,4
04/08/26 03:25:30,38
04/08/26 03:26:30,15
04/08/26 03:27:30,19
04/08/26 03:28:30,19
04/08/26 03:29:30,30
04/08/26 03:30:30,9
04/08/26 03:31:30,34
04/08/26 03:32:30,2
04/08/26 03:33:30,13
04/08/26 03:34:30,11
04/08/26 03:35:30,5
04/08/26 03:36:30,12
04/08/26 03:37:31,7
04/08/26 03:38:31,0
04/08/26 03:39:31,13
04/08/26 03:40:31,3
04/08/26 03:41:31,6
04/08/26 03:42:31,4
04/08/26 03:43:31,-7
04/08/26 03:44:31,-16
04/08/26 03:45:31,-1
04/08/26 03:46:31,39
04/08/26 03:47:31,-15
04/08/26 03:48:31,1
04/08/26 03:49:31,1
04/08/26 03:50:31,0
04/08/26 03:51:31,-8
04/08/26 03:52:31,3
04/08/26 03:53:31,26
04/08/26 03:54:31,36
04/08/26 03:55:31,0
04/08/26 03:56:31,9
04/08/26 03:57:31,0
04/08/26 03:58:31,-1
04/08/26 03:59:31,4
04/08/26 04:00:31,1
04/08/26 04:01:31,12
04/08/26 04:02:31,3
04/08/26 04:03:31,0
04/08/26 04:04:31,-10
04/08/26 04:05:31,47
04/08/26 04:06:31,-4
04/08/26 04:07:31,-16
04/08/26 04:08:32,4
04/08/26 04:09:32,5
04/08/26 04:10:32,0
04/08/26 04:11:32,-44
04/08/26 04:12:32,-25
04/08/26 04:13:32,-55
04/08/26 04:14:32,0
04/08/26 04:15:32,-66
04/08/26 04:16:32,-2
04/08/26 04:17:32,-20
04/08/26 04:18:32,-57
04/08/26 04:19:32,-1
04/08/26 04:20:32,23
04/08/26 04:21:32,1
04/08/26 04:22:32,0
04/08/26 04:23:32,-1
04/08/26 04:24:32,-2
04/08/26 04:25:32,1
04/08/26 04:26:32,-65
04/08/26 04:27:32,-57
04/08/26 04:28:32,-83
04/08/26 04:29:32,-21
04/08/26 04:30:32,0
04/08/26 04:31:32,14
04/08/26 04:32:32,-19
04/08/26 04:33:32,11
04/08/26 04:34:32,-14
04/08/26 04:35:32,-54
04/08/26 04:36:32,0
04/08/26 04:37:32,0
04/08/26 04:38:32,-10
04/08/26 04:39:33,-13
04/08/26 04:40:33,-56
04/08/26 04:41:33,-1
04/08/26 04:42:33,1
04/08/26 04:43:33,8
04/08/26 04:44:33,-4
04/08/26 04:45:33,-5
04/08/26 04:46:33,13
04/08/26 04:47:33,4
04/08/26 04:48:33,0
04/08/26 04:49:33,-3
04/08/26 04:50:33,13
04/08/26 04:51:33,18
04/08/26 04:52:33,0
04/08/26 04:53:33,-4
04/08/26 04:54:33,-1
04/08/26 04:55:33,5
04/08/26 04:56:33,-4
04/08/26 04:57:33,0
04/08/26 04:58:33,0
04/08/26 04:59:33,5
04/08/26 05:00:33,7
04/08/26 05:01:33,26
04/08/26 05:02:33,0
04/08/26 05:03:33,-2
04/08/26 05:04:33,-33
04/08/26 05:05:33,-35
04/08/26 05:06:33,0
04/08/26 05:07:33,-8
04/08/26 05:08:33,-1
04/08/26 05:09:33,11
04/08/26 05:10:35,11
04/08/26 05:11:35,1
04/08/26 05:12:35,-10
04/08/26 05:13:35,21
04/08/26 05:14:35,30
04/08/26 05:15:35,25
04/08/26 05:16:35,6
04/08/26 05:17:35,-10
04/08/26 05:18:35,-5
04/08/26 05:19:35,0
04/08/26 05:20:35,-23
04/08/26 05:21:35,0
04/08/26 05:22:35,0
04/08/26 05:23:35,-21
04/08/26 05:24:35,-6
04/08/26 05:25:35,-41
04/08/26 05:26:35,4
