timestamp,Infrared to Red Signal Ratio
04/06/26 01:11:00,1
04/06/26 01:12:00,16
04/06/26 01:13:00,-2
04/06/26 01:14:00,16
04/06/26 01:15:00,0
04/06/26 01:16:00,-5
04/06/26 01:17:00,0
04/06/26 01:18:00,0
04/06/26 01:19:00,0
04/06/26 01:20:30,0
04/06/26 01:21:30,0
04/06/26 01:22:30,0
04/06/26 01:23:30,0
04/06/26 01:24:30,0
04/06/26 01:25:30,0
04/06/26 01:26:30,-5
04/06/26 01:27:30,0
04/06/26 01:28:30,0
04/06/26 01:29:30,0
04/06/26 01:30:30,0
04/06/26 01:31:30,4
04/06/26 01:32:30,0
04/06/26 01:33:30,4
04/06/26 01:34:30,0
04/06/26 01:35:30,0
04/06/26 01:36:30,27
04/06/26 01:37:30,-6
04/06/26 01:38:30,9
04/06/26 01:39:30,-4
04/06/26 01:40:30,29
04/06/26 01:41:30,0
04/06/26 01:42:30,-9
04/06/26 01:43:30,-12
04/06/26 01:44:30,2
04/06/26 01:45:30,-50
04/06/26 01:46:30,0
04/06/26 01:47:30,2
04/06/26 01:48:30,4
04/06/26 01:49:30,34
04/06/26 01:50:30,0
04/06/26 01:51:30,17
04/06/26 01:52:30,0
04/06/26 01:53:30,-8
04/06/26 01:54:30,8
04/06/26 01:55:30,0
04/06/26 01:56:30,0
04/06/26 01:57:30,0
04/06/26 01:58:30,0
04/06/26 01:59:30,4
04/06/26 02:00:30,-23
04/06/26 02:01:30,11
04/06/26 02:02:30,-11
04/06/26 02:03:30,0
04/06/26 02:04:30,0
04/06/26 02:05:30,-4
04/06/26 02:06:30,0
04/06/26 02:07:30,24
04/06/26 02:08:31,0
04/06/26 02:09:31,0
04/06/26 02:10:31,-32
04/06/26 02:11:31,19
04/06/26 02:12:31,4
04/06/26 02:13:31,21
04/06/26 02:14:31,17
04/06/26 02:15:31,-17
04/06/26 02:16:31,-9
04/06/26 02:17:31,9
04/06/26 02:18:31,-32
04/06/26 02:19:31,4
04/06/26 02:20:31,-15
04/06/26 02:21:31,0
04/06/26 02:22:31,0
04/06/26 02:23:32,4
04/06/26 02:24:32,-6
04/06/26 02:25:32,0
04/06/26 02:26:32,0
04/06/26 02:27:32,0
04/06/26 02:28:32,0
04/06/26 02:29:32,10
04/06/26 02:30:32,0
04/06/26 02:31:32,-3
04/06/26 02:32:32,32
04/06/26 02:33:32,4
04/06/26 02:34:32,6
04/06/26 02:35:32,15
04/06/26 02:36:32,0
04/06/26 02:37:32,-4
04/06/26 02:38:32,-4
04/06/26 02:39:32,-16
04/06/26 02:40:32,0
04/06/26 02:41:32,-4
04/06/26 02:42:32,-14
04/06/26 02:43:32,11
04/06/26 02:44:32,-14
04/06/26 02:45:32,-56
04/06/26 02:46:32,-37
04/06/26 02:47:32,-69
04/06/26 02:48:32,-91
04/06/26 02:49:32,-69
04/06/26 02:50:32,-35
04/06/26 02:51:32,-55
04/06/26 02:52:32,-82
04/06/26 02:53:31,-57
04/06/26 02:54:31,-68
04/06/26 02:55:31,-52
04/06/26 02:56:31,-47
04/06/26 02:57:31,-39
04/06/26 02:58:31,-73
04/06/26 02:59:31,0
04/06/26 03:00:31,-13
04/06/26 03:01:31,-17
04/06/26 03:02:31,-32
04/06/26 03:03:31,0
04/06/26 03:04:31,-68
04/06/26 03:05:31,-34
04/06/26 03:06:31,-34
04/06/26 03:07:31,0
04/06/26 03:08:31,52
04/06/26 03:09:30,-1
04/06/26 03:10:30,0
04/06/26 03:11:30,-6
04/06/26 03:12:30,-11
04/06/26 03:13:30,-4
04/06/26 03:14:30,5
04/06/26 03:15:30,7
04/06/26 03:16:30,2
04/06/26 03:17:30,2
04/06/26 03:18:30,0
04/06/26 03:19:30,0
04/06/26 03:20:30,-9
04/06/26 03:21:30,-22
04/06/26 03:22:30,3
04/06/26 03:23:30,-71
04/06/26 03:24:33,-9
04/06/26 03:25:33,-7
04/06/26 03:26:33,-17
04/06/26 03:27:33,0
04/06/26 03:28:33,-31
04/06/26 03:29:33,-7
04/06/26 03:30:33,-30
04/06/26 03:31:33,-28
04/06/26 03:32:33,-1
04/06/26 03:33:33,0
04/06/26 03:34:33,5
04/06/26 03:35:33,0
04/06/26 03:36:33,0
04/06/26 03:37:33,-1
04/06/26 03:38:33,-39
04/06/26 03:39:34,-15
04/06/26 03:40:34,2
04/06/26 03:41:34,-9
04/06/26 03:42:34,0
