timestamp,Infrared to Red Signal Ratio
03/30/26 01:00:00,-22
03/30/26 01:01:00,2
03/30/26 01:02:00,0
03/30/26 01:03:00,17
03/30/26 01:04:00,11
03/30/26 01:05:00,-6
03/30/26 01:06:00,39
03/30/26 01:07:00,7
03/30/26 01:08:00,7
03/30/26 01:09:00,0
03/30/26 01:10:00,4
03/30/26 01:11:00,-29
03/30/26 01:12:00,0
03/30/26 01:13:00,0
03/30/26 01:14:01,-12
03/30/26 01:15:01,-4
03/30/26 01:16:01,-9
03/30/26 01:17:01,0
03/30/26 01:18:01,-15
03/30/26 01:19:01,-24
03/30/26 01:20:01,-2
03/30/26 01:21:01,-4
03/30/26 01:22:01,44
03/30/26 01:23:01,15
03/30/26 01:24:01,0
03/30/26 01:25:01,-32
03/30/26 01:26:01,-4
03/30/26 01:27:01,-60
03/30/26 01:28:01,-1
03/30/26 01:29:05,-13
03/30/26 01:30:05,0
03/30/26 01:31:05,-9
03/30/26 01:32:05,7
03/30/26 01:33:05,2
03/30/26 01:34:05,6
03/30/26 01:35:05,-11
03/30/26 01:36:05,-7
03/30/26 01:37:05,0
03/30/26 01:38:05,-6
03/30/26 01:39:05,3
03/30/26 01:40:05,-10
03/30/26 01:41:05,0
03/30/26 01:42:05,-11
03/30/26 01:43:05,40
03/30/26 01:44:05,-1
03/30/26 01:45:07,16
03/30/26 01:46:07,32
03/30/26 01:47:07,-26
03/30/26 01:48:07,0
03/30/26 01:49:07,1
03/30/26 01:50:07,65
03/30/26 01:51:07,-17
03/30/26 01:52:07,-35
03/30/26 01:53:07,-20
03/30/26 01:54:07,0
03/30/26 01:55:07,-21
03/30/26 01:56:07,-17
03/30/26 01:57:07,-9
03/30/26 01:58:07,-8
03/30/26 01:59:07,-21
03/30/26 02:00:08,-5
03/30/26 02:01:08,-26
03/30/26 02:02:08,-30
03/30/26 02:03:08,-39
03/30/26 02:04:08,-7
03/30/26 02:05:08,0
03/30/26 02:06:08,-65
03/30/26 02:07:08,-13
03/30/26 02:08:08,-2
03/30/26 02:09:08,-38
03/30/26 02:10:08,-13
03/30/26 02:11:08,-37
03/30/26 02:12:08,17
03/30/26 02:13:08,48
03/30/26 02:14:08,-4
03/30/26 02:15:11,-49
03/30/26 02:16:11,-8
03/30/26 02:17:11,-58
03/30/26 02:18:11,-10
03/30/26 02:19:11,-72
03/30/26 02:20:11,-60
03/30/26 02:21:11,-81
03/30/26 02:22:11,-93
03/30/26 02:23:11,-12
03/30/26 02:24:11,-70
03/30/26 02:25:11,-14
03/30/26 02:26:11,-25
03/30/26 02:27:11,-86
03/30/26 02:28:11,-76
03/30/26 02:29:11,-35
03/30/26 02:30:12,-3
03/30/26 02:31:12,-2
03/30/26 02:32:12,19
03/30/26 02:33:12,-42
03/30/26 02:34:12,51
03/30/26 02:35:12,-72
03/30/26 02:36:12,-85
03/30/26 02:37:12,1
03/30/26 02:38:12,-14
03/30/26 02:39:12,0
03/30/26 02:40:12,-31
03/30/26 02:41:12,-39
03/30/26 02:42:12,-10
03/30/26 02:43:12,0
03/30/26 02:44:12,0
03/30/26 02:45:12,-8
03/30/26 02:46:12,-21
03/30/26 02:47:12,-8
03/30/26 02:48:12,-13
03/30/26 02:49:12,0
03/30/26 02:50:12,2
03/30/26 02:51:12,-1
03/30/26 02:52:12,20
03/30/26 02:53:12,-4
03/30/26 02:54:12,-10
03/30/26 02:55:12,0
03/30/26 02:56:12,-17
03/30/26 02:57:12,-8
03/30/26 02:58:12,2
03/30/26 02:59:12,-55
03/30/26 03:00:16,13
03/30/26 03:01:16,-43
03/30/26 03:02:16,-2
03/30/26 03:03:16,-47
03/30/26 03:04:16,-1
03/30/26 03:05:16,-13
03/30/26 03:06:16,-25
03/30/26 03:07:16,-13
03/30/26 03:08:16,4
03/30/26 03:09:16,-1
03/30/26 03:10:16,0
03/30/26 03:11:16,-5
03/30/26 03:12:16,0
03/30/26 03:13:16,0
03/30/26 03:14:16,0
03/30/26 03:15:16,10
03/30/26 03:16:16,-1
03/30/26 03:17:16,0
03/30/26 03:18:16,-29
03/30/26 03:19:16,-3
03/30/26 03:20:16,-13
03/30/26 03:21:16,47
03/30/26 03:22:16,0
03/30/26 03:23:16,-27
03/30/26 03:24:16,-4
03/30/26 03:25:16,0
03/30/26 03:26:16,-3
03/30/26 03:27:16,-8
03/30/26 03:28:16,-10
03/30/26 03:29:16,-4
03/30/26 03:30:18,0
03/30/26 03:31:18,1
03/30/26 03:32:18,-13
03/30/26 03:33:18,-22
03/30/26 03:34:18,-18
03/30/26 03:35:18,-71
03/30/26 03:36:18,-58
03/30/26 03:37:18,-23
03/30/26 03:38:18,9
03/30/26 03:39:18,0
03/30/26 03:40:18,-4
03/30/26 03:41:18,8
03/30/26 03:42:18,-10
03/30/26 03:43:18,1
03/30/26 03:44:18,-17
03/30/26 03:45:20,0
03/30/26 03:46:20,14
03/30/26 03:47:20,-43
03/30/26 03:48:20,0
03/30/26 03:49:20,3
03/30/26 03:50:20,0
03/30/26 03:51:20,-4
03/30/26 03:52:20,-4
03/30/26 03:53:20,4
03/30/26 03:54:20,-8
03/30/26 03:55:20,-24
03/30/26 03:56:20,-3
03/30/26 03:57:20,1
03/30/26 03:58:20,1
03/30/26 03:59:20,6
03/30/26 04:00:15,0
03/30/26 04:01:15,18
03/30/26 04:02:15,21
03/30/26 04:03:15,-4
03/30/26 04:04:15,9
03/30/26 04:05:15,14
03/30/26 04:06:15,40
03/30/26 04:07:15,3
03/30/26 04:08:15,28
03/30/26 04:09:15,28
03/30/26 04:10:15,0
03/30/26 04:11:15,18
03/30/26 04:12:15,0
03/30/26 04:13:15,-2
03/30/26 04:14:15,-51
03/30/26 04:15:15,-55
03/30/26 04:16:23,-82
03/30/26 04:17:23,-23
03/30/26 04:18:23,-6
03/30/26 04:19:23,-64
03/30/26 04:20:23,0
03/30/26 04:21:23,-69
03/30/26 04:22:23,-63
03/30/26 04:23:23,2
03/30/26 04:24:23,0
03/30/26 04:25:23,1
03/30/26 04:26:23,-13
03/30/26 04:27:23,-15
03/30/26 04:28:23,-21
03/30/26 04:29:23,42
03/30/26 04:30:23,-65
03/30/26 04:31:25,-4
03/30/26 04:32:25,0
03/30/26 04:33:25,-41
03/30/26 04:34:25,-34
03/30/26 04:35:25,-73
03/30/26 04:36:25,-34
03/30/26 04:37:25,-17
03/30/26 04:38:25,9
03/30/26 04:39:25,0
03/30/26 04:40:25,-9
03/30/26 04:41:25,0
03/30/26 04:42:25,-25
03/30/26 04:43:25,-39
03/30/26 04:44:25,-44
03/30/26 04:45:25,26
03/30/26 04:46:25,-23
03/30/26 04:47:25,-10
03/30/26 04:48:25,4
03/30/26 04:49:25,16
03/30/26 04:50:25,-36
03/30/26 04:51:25,24
03/30/26 04:52:25,0
03/30/26 04:53:25,0
03/30/26 04:54:25,14
03/30/26 04:55:25,53
03/30/26 04:56:25,0
03/30/26 04:57:25,-18
03/30/26 04:58:25,1
03/30/26 04:59:25,-17
03/30/26 05:00:25,11
03/30/26 05:01:29,-10
03/30/26 05:02:29,-17
03/30/26 05:03:29,-39
03/30/26 05:04:29,-8
03/30/26 05:05:29,-16
03/30/26 05:06:29,0
03/30/26 05:07:29,-15
03/30/26 05:08:29,-17
03/30/26 05:09:29,-7
03/30/26 05:10:29,-7
03/30/26 05:11:29,-38
03/30/26 05:12:29,-21
03/30/26 05:13:29,-2
03/30/26 05:14:29,-8
03/30/26 05:15:29,-38
03/30/26 05:16:29,-63
03/30/26 05:17:29,-26
03/30/26 05:18:29,-23
03/30/26 05:19:29,-43
03/30/26 05:20:29,0
03/30/26 05:21:29,-4
03/30/26 05:22:29,0
03/30/26 05:23:29,-30
03/30/26 05:24:29,-17
03/30/26 05:25:29,-22
03/30/26 05:26:29,-50
03/30/26 05:27:29,-13
03/30/26 05:28:29,6
03/30/26 05:29:29,-47
03/30/26 05:30:29,-8
03/30/26 05:31:29,-61
03/30/26 05:32:29,0
03/30/26 05:33:29,-25
03/30/26 05:34:29,0
03/30/26 05:35:29,-17
03/30/26 05:36:29,-60
03/30/26 05:37:29,-1
03/30/26 05:38:29,-49
03/30/26 05:39:29,-44
03/30/26 05:40:29,-17
03/30/26 05:41:29,-2
03/30/26 05:42:29,-6
03/30/26 05:43:29,-24
03/30/26 05:44:29,-13
03/30/26 05:45:29,-5
03/30/26 05:46:30,-7
03/30/26 05:47:30,-26
03/30/26 05:48:30,-43
03/30/26 05:49:30,2
03/30/26 05:50:30,0
03/30/26 05:51:30,-6
03/30/26 05:52:30,-24
03/30/26 05:53:30,-6
03/30/26 05:54:30,-30
03/30/26 05:55:30,-4
03/30/26 05:56:30,-23
03/30/26 05:57:30,-16
03/30/26 05:58:30,21
03/30/26 05:59:30,-26
03/30/26 06:00:30,-8
03/30/26 06:01:35,-11
03/30/26 06:02:35,-11
03/30/26 06:03:35,-3
03/30/26 06:04:35,-4
03/30/26 06:05:35,36
03/30/26 06:06:35,-37
03/30/26 06:07:35,0
03/30/26 06:08:35,-8
03/30/26 06:09:35,-37
03/30/26 06:10:35,-43
03/30/26 06:11:35,4
03/30/26 06:12:35,-13
03/30/26 06:13:35,0
03/30/26 06:14:35,-60
03/30/26 06:15:35,-35
03/30/26 06:16:39,39
03/30/26 06:17:39,3
03/30/26 06:18:39,-33
03/30/26 06:19:39,-13
03/30/26 06:20:39,0
03/30/26 06:21:39,-34
03/30/26 06:22:39,1
03/30/26 06:23:39,-4
03/30/26 06:24:39,5
03/30/26 06:25:39,4
03/30/26 06:26:39,15
03/30/26 06:27:39,-28
03/30/26 06:28:39,-67
03/30/26 06:29:39,0
03/30/26 06:30:39,8
03/30/26 06:31:40,-26
03/30/26 06:32:40,-11
03/30/26 06:33:40,-39
03/30/26 06:34:40,-24
03/30/26 06:35:40,-22
03/30/26 06:36:40,-39
03/30/26 06:37:40,-26
03/30/26 06:38:40,-2
03/30/26 06:39:40,-26
03/30/26 06:40:40,-8
03/30/26 06:41:40,-60
03/30/26 06:42:40,-15
03/30/26 06:43:40,-23
03/30/26 06:44:40,47
03/30/26 06:45:40,39
03/30/26 06:46:40,-23
03/30/26 06:47:43,-34
03/30/26 06:48:43,-35
03/30/26 06:49:43,-39
03/30/26 06:50:43,-65
03/30/26 06:51:43,-34
03/30/26 06:52:43,0
03/30/26 06:53:43,-47
03/30/26 06:54:43,-4
03/30/26 06:55:43,-56
03/30/26 06:56:43,-6
03/30/26 06:57:43,-12
03/30/26 06:58:43,22
03/30/26 06:59:43,-4
03/30/26 07:00:43,-2
03/30/26 07:01:43,40
03/30/26 07:02:44,-4
03/30/26 07:03:44,-5
03/30/26 07:04:44,-4
03/30/26 07:05:44,8
03/30/26 07:06:44,0
03/30/26 07:07:44,-16
03/30/26 07:08:44,0
03/30/26 07:09:44,1
03/30/26 07:10:44,-7
03/30/26 07:11:44,-5
03/30/26 07:12:44,9
03/30/26 07:13:44,34
03/30/26 07:14:44,-4
03/30/26 07:15:44,-1
03/30/26 07:16:44,3
03/30/26 07:17:47,-2
03/30/26 07:18:47,-44
03/30/26 07:19:47,-36
03/30/26 07:20:47,-59
03/30/26 07:21:47,-8
03/30/26 07:22:47,-84
03/30/26 07:23:47,-25
03/30/26 07:24:47,-1
03/30/26 07:25:47,-45
03/30/26 07:26:47,-5
03/30/26 07:27:47,-4
03/30/26 07:28:47,-5
03/30/26 07:29:47,15
03/30/26 07:30:47,-59
03/30/26 07:31:47,-30
03/30/26 07:32:49,-38
03/30/26 07:33:49,-4
03/30/26 07:34:49,-12
03/30/26 07:35:49,7
03/30/26 07:36:49,-4
03/30/26 07:37:49,-2
03/30/26 07:38:49,7
03/30/26 07:39:49,-1
03/30/26 07:40:49,-65
03/30/26 07:41:49,0
03/30/26 07:42:49,-13
03/30/26 07:43:49,-8
03/30/26 07:44:49,-14
03/30/26 07:45:49,15
03/30/26 07:46:49,-82
03/30/26 07:47:49,0
03/30/26 07:48:49,16
03/30/26 07:49:49,38
03/30/26 07:50:49,0
03/30/26 07:51:49,16
03/30/26 07:52:49,4
03/30/26 07:53:49,3
03/30/26 07:54:49,-8
03/30/26 07:55:49,9
03/30/26 23:57:30,37
03/30/26 23:58:30,-7
03/30/26 23:59:30,4
