type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2026-04-01T02:07,2026-04-01T07:43:30,334,33.968263473053895,70.86947890818738,256.1009671877837,0.21426566234165817,1.1303587225499132
IDT,2026-04-02T00:10,2026-04-02T08:30,497,33.33058350100603,-207.47573200993065,817.8871617163531,0.26626962715332264,1.1698115320895333
IDT,2026-04-02T23:41,2026-04-03T03:43:30,240,33.59125,-35.70000000000073,342.64200000010896,0.2561129934754421,1.1723554376155756
IDT,2026-04-04T00:29,2026-04-04T08:20,470,32.363617021276596,-641.4703196347054,1553.746087174979,0.5005906410672487,1.2751920031596853
IDT,2026-04-05T04:36,2026-04-05T09:02,264,34.0625,85.13999999999942,253.39640000008512,0.49397678120800437,1.2591146262765813
IDT,2026-04-06T01:04:30,2026-04-06T10:29:30,562,33.18220640569395,-306.9874885844765,820.6912422552705,0.4901733757924174,1.2428153229031014
IDT,2026-04-07T02:42,2026-04-07T07:50,307,33.54592833876221,-52.486757990865954,156.07589499803726,0.46967831673322297,1.2117802498553718
IDT,2026-04-08T03:04,2026-04-08T07:43:30,280,32.86535714285714,-224.43672537508246,566.6334060609806,0.49299692443505166,1.2180397027565792
IDT,2026-04-09T00:38,2026-04-09T07:43,425,33.368941176470585,-105.39897959183872,594.5887174094096,0.47749061161572043,1.2129272387288577
IDT,2026-04-09T23:44:30,2026-04-10T04:59:30,313,34.40127795527157,229.85501770571318,364.6560676182853,0.508787971132136,1.2141409147969986
IDT,2026-04-11T00:15:30,2026-04-11T07:52,455,33.80879120879121,41.81278538812876,468.627272575628,0.4953177160695819,1.2016299277239046
IDT,2026-04-12T01:19,2026-04-12T09:52:30,514,32.77879377431906,-456.4952744385446,1039.122851331951,0.5188346361831497,1.2109072767221327
IDT,2026-04-13T00:33:30,2026-04-13T05:22,288,33.88298611111111,47.83424657534124,364.09147619933356,0.5095399071911308,1.2093447045646712
