id,title,body,priority,destination,creation_time,expiration_time,left_action_text,right_action_text,entity_id,entity_type
5597988329264325776,,"High readiness. After some lighter intensity days, it’s a good time to push.",1,DESTINATION_MORNING_BRIEF_READINESS,2026-04-13T07:09:00.990436Z,2026-04-13T20:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
9016494444726406184,Ready to hit your target today?,"You’ve been at risk of undertraining recently, and your readiness is high. Aiming for 58-79 cardio load today will help you get back on track to maintain your cardio fitness.",1000,DESTINATION_TODAY_FOCUS,2026-04-13T07:09:00.990436Z,2026-04-13T20:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
