id;activity;calories;day;distance;end_datetime;intensity;label;source;start_datetime
b84ab27b-2fce-4812-b994-cacbafe1d5be;rowing;170.57952880859375;2026-01-31;29.69526744866382;2026-01-31T09:56:00.000+02:00;moderate;;confirmed;2026-01-31T09:20:00.000+02:00
038f3553-c9fe-46d6-aeb5-f07e16652294;kettlebell;66.2669677734375;2026-01-31;99.36182193939185;2026-01-31T18:16:00.000+02:00;moderate;;confirmed;2026-01-31T18:01:00.000+02:00
2c8e6c5f-d228-4fab-9ae6-c40c73943d83;kettlebell;47.775848388671875;2026-01-31;167.1429682264202;2026-01-31T18:27:00.000+02:00;moderate;;confirmed;2026-01-31T18:17:00.000+02:00
18a353fc-2d13-4510-8b2c-3dfd341849c0;kettlebell;58.664432525634766;2026-01-31;50.1461353595943;2026-01-31T20:24:00.000+02:00;moderate;;confirmed;2026-01-31T20:11:00.000+02:00
4225ccac-58d1-4959-a4d1-e2cfecbb4453;rowing;156.55935668945312;2026-02-01;18.124174466559772;2026-02-01T08:55:00.000+02:00;moderate;;confirmed;2026-02-01T08:24:00.000+02:00
9be4ae37-71a7-4321-8d68-c2d3892a8519;kettlebell;66.26087188720703;2026-02-01;26.917549024005652;2026-02-01T09:09:00.000+02:00;moderate;;confirmed;2026-02-01T08:56:00.000+02:00
cad19cda-daf0-43ea-9b2d-e9c92836e1e1;walking;85.05148315429688;2026-02-01;1310.0996926687178;2026-02-01T16:31:00.000+02:00;moderate;;confirmed;2026-02-01T16:14:00.000+02:00
42d2bc60-3515-4ac6-83b8-1d58a5c544f4;walking;88.48501586914062;2026-02-01;1575.8225598018441;2026-02-01T18:17:00.000+02:00;moderate;;confirmed;2026-02-01T17:58:00.000+02:00
b45d8b70-207b-4b47-b0f8-e8e76e9a40ae;rowing;172.08551025390625;2026-02-02;32.54012859034119;2026-02-02T08:00:00.000+02:00;moderate;;confirmed;2026-02-02T07:26:00.000+02:00
9ac6ec34-4fd7-4cb5-b3bf-e6e7561620a5;rowing;196.7362518310547;2026-02-03;25.75458075861562;2026-02-03T07:41:00.000+02:00;moderate;;confirmed;2026-02-03T07:00:00.000+02:00
0f5100b5-9019-4e72-a28c-b34338f2c35b;walking;66.84271240234375;2026-02-03;649.077024045519;2026-02-03T18:39:00.000+02:00;moderate;;confirmed;2026-02-03T18:16:00.000+02:00
b80607b8-e02a-4767-84b7-d05a7cc8a56a;walking;96.57304382324219;2026-02-04;509.66478428628847;2026-02-04T14:18:00.000+02:00;moderate;;confirmed;2026-02-04T13:47:00.000+02:00
fd16c65c-2cf0-4235-8eac-eb98e9de1cc7;rowing;85.79905700683594;2026-02-04;17.257820503247608;2026-02-04T17:07:00.000+02:00;moderate;;confirmed;2026-02-04T16:52:00.000+02:00
8d6f39ed-b0f3-4acd-8cf1-b36e60ef372b;kettlebell;59.283241271972656;2026-02-04;98.21819971704079;2026-02-04T17:21:00.000+02:00;moderate;;confirmed;2026-02-04T17:08:00.000+02:00
e1303bf4-9f60-4e3d-9454-068db2f3174b;kettlebell;49.39117431640625;2026-02-04;31.115752977381348;2026-02-04T17:33:00.000+02:00;moderate;;confirmed;2026-02-04T17:22:00.000+02:00
196075f6-b5f2-451a-9abc-dc03bd1cc86c;rowing;204.0219268798828;2026-02-05;15.518309842090703;2026-02-05T08:10:00.000+02:00;moderate;;confirmed;2026-02-05T07:30:00.000+02:00
18e0ff62-3027-4b4a-b62b-a9a3047342ba;yardwork;124.99180603027344;2026-02-05;430.4825403839404;2026-02-05T12:50:00.000+02:00;moderate;;confirmed;2026-02-05T12:19:00.000+02:00
5d20694d-8385-47e9-98e1-8b2b952b872a;walking;46.824031829833984;2026-02-05;724.2359144353309;2026-02-05T21:31:00.000+02:00;moderate;;confirmed;2026-02-05T21:19:00.000+02:00
92cd8960-512b-4aa1-90e1-d5bf0ef675f1;rowing;69.41517639160156;2026-02-06;19.48014020867022;2026-02-06T08:51:00.000+02:00;moderate;;confirmed;2026-02-06T08:37:00.000+02:00
8a31207d-3833-43e5-b177-7b6371e847f8;rowing;76.02123260498047;2026-02-06;;2026-02-06T09:07:00.000+02:00;moderate;;confirmed;2026-02-06T08:52:00.000+02:00
4072efb3-6675-4597-9b07-edbb356a753a;rowing;220.51345825195312;2026-02-08;24.4602465631233;2026-02-08T09:33:00.000+02:00;moderate;;confirmed;2026-02-08T08:51:00.000+02:00
2749dc27-f3fc-42de-96a2-ac6b98bd3f60;houseWork;43.278350830078125;2026-02-08;28.454854122534865;2026-02-08T13:46:00.000+02:00;moderate;;confirmed;2026-02-08T13:36:00.000+02:00
